"selected offences","overall incidents","organized crime-related incidents","organized crime-related incidents"
"selected offences","number","number","percent"
"all homicide-related violations","588","90","15"
"murder 1st degree","92","32","35"
"murder 2nd degree","109","11","10"
"manslaughter","23","2","9"
"criminal negligence causing death","28","0","0"
"other related offences causing death","1","0","0"
"attempted murder","323","42","13"
"conspiracy to commit murder","12","3","25"
"all drug-related violations","1,051","586","56"
"trafficking - heroin","159","118","74"
"trafficking - cocaine","459","283","62"
"trafficking - other controlled drugs and substances act","99","37","37"
"trafficking - cannabis","161","62","39"
"trafficking - methamphetamine","128","77","60"
"trafficking - methylenedioxymethamphetamine","4","3","75"
"production - cocaine","1","1","100"
"production - other controlled drugs and substances act","1","0","0"
"production - cannabis","36","2","6"
"production - methamphetamine","2","2","100"
"production - methylenedioxymethamphetamine","1","1","100"
"total","1,639","676","41"
