"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"2006","hou","14","12","34","352","10.4","33t","5","0","0","0.0","0","0","0","0"
"2007","hou","16","16","63","768","12.2","29","3","0","0","0.0","0","0","4","3"
"2008","hou","16","16","70","862","12.3","35","2","0","0","0.0","0","0","2","1"
"2009","hou","8","8","40","519","13.0","44","5","0","0","0.0","0","0","1","0"
"2010","hou","11","10","38","471","12.4","31","2","0","0","0.0","0","0","0","0"
"2011","hou","15","15","54","677","12.5","34","3","0","0","0.0","0","0","0","0"
"2012","hou","15","14","62","716","11.5","39t","6","0","0","0.0","0","0","0","0"
"2013","hou","5","5","24","252","10.5","28","3","0","0","0.0","0","0","0","0"
"2014","bal","15","13","48","527","11.0","39","4","0","0","0.0","0","0","0","0"
"2015","den","16","16","46","517","11.2","37","3","0","0","0.0","0","0","0","0"
"career","career","131","125","479","5,661","11.8","44","36","0","0","0.0","0","0","7","4"
