"","linked cctlp tumour cohort","tumours with one or more surgical interventions","tumours with one or more surgical interventions"
"","number","number","percent"
"canada","49,135","9,380","19.1"
"newfoundland and labrador","1,245","195","15.6"
"prince edward island","360","50","13.6"
"nova scotia","2,680","535","20.0"
"new brunswick","1,950","490","25.1"
"ontario","24,205","4,765","19.7"
"manitoba","2,460","560","22.9"
"saskatchewan","2,200","385","17.5"
"alberta","5,425","955","17.6"
"british columbia","8,475","1,420","16.8"
"yukon","50","10","19.6"
"northwest territories","x","x","x"
"nunavut","x","x","x"
