"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us","us main","us ac","can","can ac","uk","aus","nz","album"
"1982","i found somebody","31","57","27","-","-","-","93","-","no fun aloud"
"1982","the one you love","15","-","2","12","2","-","50","36","no fun aloud"
"1982","don't give up","-","25","-","-","-","-","-","-","no fun aloud"
"1982","partytown","-","5","-","-","-","-","-","-","no fun aloud"
"1983","all those lies","41","-","28","-","-","-","-","-","no fun aloud"
"1984","sexy girl","20","-","23","48","12","81","76","-","the allnighter"
"1984","the allnighter","54","-","-","-","-","-","-","-","the allnighter"
"1984","the heat is on","2","4","-","8","-","12","2","22","beverly hills cop"
"1985","smuggler's blues","12","13","-","37","-","22","-","-","the allnighter / miami vice"
"1985","you belong to the city","2","1","2","6","2","94","20","46","miami vice"
"1988","true love","13","15","2","2","-","84","49","-","soul searchin'"
"1988","soul searchin'","-","-","5","-","-","-","-","-","soul searchin'"
"1989","livin' right","90","-","22","-","-","-","-","-","soul searchin'"
"1989","flip city","-","-","-","-","-","-","-","-","ghostbusters ii"
"1991","part of me, part of you","55","9","7","9","8","-","-","-","strange weather"
"1992","i've got mine","91","-","12","18","-","-","-","-","strange weather"
"1992","river of dreams","-","-","27","57","34","-","-","-","strange weather"
"1993","love in the 21st century","-","-","-","-","-","-","-","-","strange weather"
"1995","this way to happiness","-","-","-","54","-","-","-","-","solo collection"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
