"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"znicz pruszkow","2006-07","ii liga","27","15","2","1","-","-","29","16","none","none"
"znicz pruszkow","2007-08","i liga","32","21","2","0","-","-","34","21","none","none"
"znicz pruszkow","total","total","59","36","4","1","0","0","0","0","63","37"
"lech poznan","2008-09","ekstraklasa","30","14","6","2","12","4","-","-","48","20"
"lech poznan","2009-10","ekstraklasa","28","18","1","0","4","2","1","1","34","21"
"lech poznan","total","total","58","32","7","2","16","6","1","1","82","41"
"borussia dortmund","2010-11","bundesliga","33","8","2","0","8","1","-","-","43","9"
"borussia dortmund","2011-12","bundesliga","34","22","6","7","6","1","1","0","47","30"
"borussia dortmund","2012-13","bundesliga","31","24","4","1","13","10","1","1","49","36"
"borussia dortmund","2013-14","bundesliga","33","20","5","2","9","6","1","0","48","28"
"borussia dortmund","total","total","131","74","17","10","36","18","3","1","187","103"
"bayern munich","2014-15","bundesliga","31","17","5","2","12","6","1","0","49","25"
"bayern munich","2015-16","bundesliga","32","30","6","3","12","9","1","0","51","42"
"bayern munich","2016-17","bundesliga","33","30","4","5","9","8","1","0","47","43"
"bayern munich","2017-18","bundesliga","30","29","6","6","11","5","1","1","48","41"
"bayern munich","2018-19","bundesliga","30","21","4","5","8","8","1","3","43","37"
"bayern munich","total","total","156","127","25","21","52","36","5","4","238","188"
"career total","career total","career total","404","269","53","34","104","60","9","6","570","368"
