"","women","men"
"","dollars","dollars"
"skill level a: occupations usually require a university education","",""
"senior management occupations","..","50.01"
"managers in administrative services, financial and business services, and communication","..","44.03"
"managers in engineering, architecture, science and information systems","..","49.13"
"managers in health care","40.62",".."
"managers in public administration, education and social and community services, and public protection services","40.59",".."
"managers in art, culture, recreation and sport","..","33.19"
"middle management occupations in retail and wholesale trade and customer services","..","36.22"
"managers in construction and facility operation and maintenance, and transportation","..","38.62"
"managers in natural resources production and fishing, and agriculture, horticulture and aquaculture","..","38.71"
"managers in manufacturing and utilities","..","43.23"
"professional occupations in business and finance","32.86",".."
"professional occupations in natural and applied sciences","..","39.85"
"professional occupations in nursing","35.37",".."
"professional occupations in health","36.04",".."
"professional occupations in education services","35.12",".."
"professional occupations in law and social, community and government services","34.05",".."
"professional occupations in art and culture","31.13",".."
"skill level b: occupations usually require a college education or apprenticeship training","",""
"administrative and financial supervisors and administrative occupations","25.11",".."
"finance, insurance and related business administrative occupations","24.41",".."
"technical occupations related to natural and applied sciences","..","31.98"
"technical occupations in health","27.40",".."
"paraprofessional occupations in legal, social, community and education services","22.57",".."
"occupations in front-line public protection services","..","38.43"
"technical occupations in art, culture, recreation and sport","..","28.16"
"retail sales supervisors and specialized sales occupations","21.25",".."
"service supervisors and specialized service occupations","..","19.02"
"industrial, electrical and construction trades","..","29.76"
"maintenance and equipment operation trades","..","29.17"
"supervisors and technical occupations in natural resources, agriculture and related production","..","33.60"
"processing, manufacturing and utilities supervisors and central control operators","..","30.76"
"skill level c: occupations usually require secondary school and/or occupation-specific training","",""
"office support occupations","21.65",".."
"distribution, tracking and scheduling co-ordination occupations","..","21.64"
"assisting occupations in support of health services","20.95",".."
"care providers and educational, legal and public protection support occupations","19.36",".."
"sales representatives and salespersons - wholesale and retail trade","..","26.20"
"service representatives and other customer and personal services occupations","18.20",".."
"other installers, repairers and servicers and material handlers","..","21.47"
"transport and heavy equipment operation and related maintenance occupations","..","24.08"
"workers in natural resources, agriculture and related production","..","22.33"
"processing and manufacturing machine operators and related production workers","..","21.64"
"assemblers in manufacturing","..","21.91"
"skill level d: on-the-job training is usually provided for these occupations","",""
"sales support occupations","13.97",".."
"service support and other service occupations, n.e.c","15.13",".."
"trades helpers, construction labourers and related occupations","..","23.81"
"harvesting, landscaping and natural resources labourers","..","22.94"
"labourers in processing, manufacturing and utilities","..","19.41"
