"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"blackpool","2001-02","second division","3","0","0","0","0","0","1","0","4","0"
"blackpool","2002-03","second division","7","2","0","0","0","0","1","0","8","2"
"blackpool","2003-04","second division","12","1","0","0","0","0","4","1","16","2"
"blackpool","2004-05","league one","4","0","2","0","0","0","2","3","8","3"
"blackpool","2005-06","league one","16","2","1","0","1","0","1","1","19","3"
"blackpool","2006-07","league one","2","0","0","0","0","0","1","0","3","0"
"blackpool","total","total","44","5","3","0","1","0","10","5","58","10"
"luton town","2004-05","league one","2","0","0","0","1","0","0","0","3","0"
"bury","2006-07","league two","10","0","0","0","0","0","0","0","10","0"
"morecambe","2006-07","conference national","12","8","0","0","-","-","0","0","12","8"
"morecambe","2007-08","league two","41","10","1","0","2","0","5","1","49","11"
"morecambe","2008-09","league two","11","0","0","0","1","0","0","0","12","0"
"morecambe","total","total","64","18","1","0","3","0","5","1","73","19"
"sligo rovers","2009","loi premier division","17","4","1","1","?","?","?","?","18","5"
"sligo rovers","2010","loi premier division","26","6","2","0","?","?","?","?","28","6"
"sligo rovers","2011","loi premier division","29","12","6","0","3","0","5","0","43","12"
"sligo rovers","total","total","72","22","9","1","3","0","5","0","89","23"
"york city","2011-12","conference premier","15","1","0","0","-","-","4","1","19","2"
"hyde","2012-13","conference premier","30","7","0","0","-","-","2","0","32","7"
"afc fylde","2012-13","npl premier division","3","2","0","0","-","-","0","0","3","2"
"afc fylde","2013-14","npl premier division","?","?","?","?","-","-","?","?","?","?"
"afc fylde","2014-15","conference north","18","0","0","0","-","-","1","0","19","0"
"afc fylde","2015-16","national league north","25","2","2","0","-","-","3","1","30","3"
"afc fylde","2016-17","national league north","22","3","0","0","-","-","2","0","24","3"
"afc fylde","2017-18","national league","7","0","0","0","-","-","0","0","7","0"
"afc fylde","total","total","72","5","2","0","0","0","6","1","80","6"
"career total","career total","career total","312","60","15","1","8","0","30","8","365","69"
