"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"liverpool","2002-03","premier league","0","0","0","0","1","0","0","0","1","0"
"liverpool","2003-04","premier league","4","0","0","0","1","0","0","0","5","0"
"liverpool","2004-05","premier league","0","0","0","0","0","0","0","0","0","0"
"liverpool","total","total","4","0","0","0","2","0","0","0","6","0"
"hull city","2002-03","division three","9","3","0","0","0","0","0","0","9","3"
"bolton wanderers","2003-04","premier league","1","0","0","0","0","0","0","0","1","0"
"crewe alexandra","2004-05","championship","14","1","0","0","1","0","0","0","15","1"
"rotherham united","2005-06","league one","10","0","0","0","2","1","2","0","14","1"
"crewe alexandra","2005-06","championship","16","0","0","0","0","0","0","0","16","0"
"crewe alexandra","2006-07","league one","27","0","1","0","3","0","3","0","34","0"
"crewe alexandra","total","total","43","0","1","0","3","0","3","0","50","0"
"norwich city","2007-08","championship","43","1","1","0","3","0","0","0","47","1"
"norwich city","2008-09","championship","37","0","2","0","1","0","0","0","40","0"
"norwich city","2009-10","league one","13","1","1","0","1","0","2","0","17","1"
"norwich city","total","total","93","2","4","0","5","0","2","0","104","2"
"southampton","2009-10","league one","19","0","0","0","0","0","0","0","19","0"
"sheffield wednesday","2010-11","league one","15","0","1","0","2","0","3","0","21","0"
"sheffield wednesday","2011-12","league one","11","0","3","0","2","0","0","0","16","0"
"sheffield wednesday","total","total","26","0","4","0","4","0","3","0","37","0"
"milton keynes dons","2012-13","league one","19","1","2","1","1","0","0","0","22","2"
"career totals","career totals","career totals","238","7","11","1","18","1","10","0","277","9"
