"","destination","destination","destination","destination","destination","destination","destination","destination"
"","atlantic canada","que","ont","man","sask","alta","b.c","total"
"","percent","percent","percent","percent","percent","percent","percent","percent"
"origin","","","","","","","",""
"atlantic canada","99","99","89","94","77","94","89","95"
"quebec","99","99","100","98","94","98","98","99"
"ontario","100","100","100","99","98","100","100","100"
"manitoba","93","97","95","96","95","97","95","96"
"saskatchewan","87","96","96","95","98","97","97","97"
"alberta","89","97","98","97","99","100","100","99"
"british columbia","96","82","99","97","96","99","98","97"
"total","98","99","99","97","98","99","98","99"
