"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","ger","aus","aut","bel","ire","ned","sui","uk","album"
"1999","hit me","-","-","-","-","-","-","-","-","single only"
"2000","are u ready","-","-","-","-","-","-","-","-","covergirl"
"2001","moonlight shadow","3","39","5","50","-","68","52","100","covergirl"
"2002","god is a girl","8","-","5","55","-","-","70","-","covergirl"
"2003","the end","14","-","16","-","-","-","-","-","7 years and 50 days"
"2003","poison","2","-","3","-","29","51","-","32","7 years and 50 days"
"2004","7 years and 50 days","16","-","6","-","-","-","-","-","7 years and 50 days"
"2004","she","18","-","14","-","-","-","-","-","7 years and 50 days"
"2004","runaway","20","-","10","-","-","-","-","-","7 years and 50 days"
"2005","holy virgin","30","-","12","-","-","-","-","-","21st century"
"2006","on the radio","21","-","23","-","-","-","-","-","21st century"
"2006","21st century digital girl","41","-","32","-","-","-","-","-","21st century"
"2007","because i love you","72","-","56","-","-","-","-","-","greatest hits"
"2010","innocent","38","-","48","-","-","-","-","-","riot on the dancefloor"
"2011","angeline","22","-","26","-","-","-","-","-","riot on the dancefloor"
"2012","think about the way","54","-","-","-","-","-","-","-","riot on the dancefloor"
"2012","riot on the dancefloor","91","-","72","-","-","-","-","-","riot on the dancefloor"
"2014","tell me","-","-","-","-","-","-","-","-","none"
"2014","wait","-","-","-","-","-","-","-","-","none"
"2015","million tears 2015","-","-","-","-","-","-","-","-","none"
"2017","wake up","-","-","-","-","-","-","-","-","none"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
