"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"chesterfield","1922-23","third division north","6","4","0","0","6","4"
"swindon town","1927-28","third division south","37","14","5","0","42","14"
"swindon town","1928-29","third division south","41","10","5","0","46","10"
"swindon town","1929-30","third division south","28","10","3","1","31","11"
"swindon town","total","total","106","34","13","1","119","35"
"brentford","1930-31","third division south","5","0","0","0","5","0"
"manchester city","1930-31","first division","8","2","0","0","8","2"
"career total","career total","career total","125","40","13","1","138","41"
