"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"mozdok","2000","pfl","8","0","0","0","-","-","8","0"
"alania vladikavkaz","2001","russian premier league","0","0","0","0","-","-","0","0"
"alania vladikavkaz","2002","russian premier league","0","0","0","0","-","-","0","0"
"alania vladikavkaz","2003","russian premier league","9","0","1","0","-","-","10","0"
"alania vladikavkaz","2004","russian premier league","14","0","1","0","-","-","15","0"
"spartak moscow","2005","russian premier league","0","0","1","0","-","-","1","0"
"spartak moscow","2006","russian premier league","3","0","1","0","0","0","4","0"
"spartak moscow","2007","russian premier league","1","0","2","0","3","0","6","0"
"spartak moscow","total","total","4","0","4","0","3","0","11","0"
"spartak nalchik","2008","russian premier league","27","0","0","0","-","-","27","0"
"spartak nalchik","2009","russian premier league","11","0","0","0","-","-","11","0"
"spartak nalchik","total","total","38","0","0","0","0","0","38","0"
"alania vladikavkaz","2010","russian premier league","16","0","2","0","-","-","18","0"
"alania vladikavkaz","2011-12","fnl","40","0","2","0","4","0","46","0"
"alania vladikavkaz","2012-13","russian premier league","17","0","0","0","-","-","17","0"
"alania vladikavkaz","2013-14","fnl","17","0","0","0","-","-","17","0"
"alania vladikavkaz","total","total","113","0","6","0","4","0","123","0"
"kairat","2014","kazakhstan premier league","26","0","3","0","4","0","33","0"
"amkar perm","2014-15","russian premier league","1","0","-","-","1","0","none","none"
"amkar perm","2015-16","russian premier league","0","0","1","0","-","-","1","0"
"amkar perm","2016-17","russian premier league","13","0","1","0","-","-","14","0"
"amkar perm","2017-18","russian premier league","1","0","1","0","-","-","2","0"
"amkar perm","total","total","15","0","3","0","0","0","18","0"
"career total","career total","career total","204","0","16","0","11","0","231","0"
