"characteristic","2008","2009","2010","2011","2012","2013","% change","% change"
"characteristic","2008","2009","2010","2011","2012","2013","2012-13","2008-13"
"science and engineering","529275","545685","556532","560941","561418","570300","1.6","7.8"
"science","391419","401008","407291","414440","413033","417251","1","6.6"
"agricultural sciences","14153","15200","15656","16129","16234","16429","1.2","16.1"
"biological sciences","72666","73304","74928","75423","76447","76649","0.3","5.5"
"computer sciences","49553","51161","51546","51234","51789","56339","8.8","13.7"
"earth, atmospheric, and ocean sciences","14389","14839","15655","15820","16069","15816","-1.6","9.9"
"mathematical sciences","21400","22226","23136","23801","24575","24804","0.9","15.9"
"physical sciences","37319","38149","38973","39694","39928","40019","0.2","7.2"
"psychology","58991","56184","53419","54486","54117","54102","0","-8.3"
"social sciences","103384","107820","109220","111661","108169","107278","-0.8","3.8"
"other sciencesa","19564","22125","24758","26192","25705","25815","0.4","32"
"engineering","137856","144677","149241","146501","148385","153049","3.1","11"
"aerospace engineering","4902","5266","5540","5691","5069","5181","2.2","5.7"
"biomedical engineering","7339","7904","8497","9175","9157","9198","0.4","25.3"
"chemical engineering","7892","8188","8668","8828","9222","9698","5.2","22.9"
"civil engineering","16931","18638","19559","19596","19922","20110","0.9","18.8"
"electrical engineering","41164","41218","41336","41580","42347","45562","7.6","10.7"
"industrial engineering","15692","15825","15205","14494","14469","14363","-0.7","-8.5"
"mechanical engineering","19585","21243","22509","21883","23088","24087","4.3","23"
"metallurgical and materials engineering","5539","5863","6274","6649","6985","7144","2.3","29"
"other engineering","18812","20532","21653","18605","18126","17706","-2.3","19.3"
