"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"quilmes","2005-06","argentine primera division","5","0","0","0","-","-","0","0","5","0"
"2 de mayo","2009","paraguayan primera division","11","3","0","0","-","-","0","0","11","3"
"colon","2009-10","argentine primera division","4","0","0","0","-","-","0","0","4","0"
"defensa y justicia","2009-10","primera b nacional","6","0","0","0","-","-","0","0","6","0"
"aldosivi","2010-11","primera b nacional","3","1","0","0","-","-","0","0","3","1"
"guarani antonio franco","2012-13","torneo argentino a","22","4","1","1","-","-","0","0","23","5"
"guarani antonio franco","2013-14","torneo argentino a","21","11","1","1","-","-","6","4","28","12"
"guarani antonio franco","2014","primera b nacional","13","3","0","0","-","-","0","0","13","3"
"guarani antonio franco","2015","primera b nacional","20","6","0","0","-","-","0","0","20","6"
"guarani antonio franco","2016","torneo federal a","9","7","0","0","-","-","2","2","11","9"
"guarani antonio franco","2016-17","torneo federal a","13","9","0","0","-","-","0","0","13","9"
"guarani antonio franco","total","total","98","40","2","2","-","-","8","6","108","48"
"agropecuario","2016-17","torneo federal a","9","3","0","0","-","-","0","0","9","3"
"agropecuario","2017-18","primera b nacional","21","6","0","0","-","-","3","0","24","6"
"agropecuario","2018-19","primera b nacional","7","1","1","0","-","-","0","0","8","1"
"agropecuario","total","total","37","10","1","0","-","-","3","0","41","10"
"career total","career total","career total","164","54","3","2","-","-","11","6","178","62"
