"","agricultural region 7 manitoba","agricultural region 7 manitoba","agricultural region 8 manitoba","agricultural region 8 manitoba","agricultural region 9 manitoba","agricultural region 9 manitoba","agricultural region 8b saskatchewan","agricultural region 8b saskatchewan","agricultural region 7 alberta","agricultural region 7 alberta"
"","french-language workers","other workers","french-language workers","other workers","french-language workers","other workers","french-language workers","other workers","french-language workers","other workers"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"place of birth","","","","","","","","","",""
"born in the province of residence","95.6","89.0","93.1","81.8","88.7","66.2","90.0","92.6","77.9","69.4"
"born in a different province","0.0","5.2","0.0","4.6","0.0","7.5","0.0","4.7","22.1","22.7"
"born outside of canada","0.0","5.6","0.0","13.7","0.0","26.3","0.0","2.5","0.0","7.7"
"religion","","","","","","","","","",""
"anglican","0.0","4.2","0.0","3.1","0.0","2.0","0.0","5.1","0.0","4.3"
"catholic","88.9","14.8","94.8","11.4","84.5","17.6","85.0","54.0","90.9","19.1"
"pentecostal","0.0","0.8","0.0","2.3","0.0","2.4","0.0","1.6","0.0","2.1"
"presbyterian","0.0","0.8","0.0","0.0","0.0","0.7","0.0","0.0","0.0","0.6"
"united church","0.0","24.8","0.0","17.0","0.0","7.5","0.0","11.4","0.0","8.3"
"other christian","0.0","35.4","0.0","55.2","7.0","47.8","0.0","16.8","0.0","38.3"
"buddhist, hindu, jewish, muslim and sikh","0.0","0.0","0.0","0.0","0.0","3.3","0.0","0.0","0.0","0.0"
"other religions","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"no religious affiliation","0.0","18.9","0.0","10.4","7.0","17.9","0.0","10.5","0.0","26.9"
