"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"real madrid b","2002-03","segunda division b","9","0","0","0","0","0","9","0"
"real madrid b","2003-04","segunda division b","1","0","0","0","0","0","1","0"
"real madrid b","total","total","10","0","0","0","0","0","10","0"
"real madrid","2004-05","la liga","0","0","0","0","0","0","0","0"
"real madrid","total","total","0","0","0","0","0","0","0","0"
"arminia bielefeld","2004-05","bundesliga","10","0","2","0","0","0","12","0"
"arminia bielefeld","2005-06","bundesliga","4","1","1","0","0","0","5","1"
"arminia bielefeld","total","total","14","1","3","0","0","0","17","1"
"grasshoppers","2006-07","swiss super league","26","3","3","2","8","1","37","6"
"grasshoppers","2007-08","swiss super league","4","0","0","0","0","0","4","0"
"grasshoppers","total","total","30","3","3","2","8","1","41","6"
"barnsley","2007-08","championship","18","1","2","0","0","0","20","1"
"barnsley","2008-09","championship","19","1","2","0","0","0","21","1"
"barnsley","total","total","37","2","4","0","0","0","41","2"
"las palmas","2009-10","segunda division","22","1","0","0","0","0","22","1"
"las palmas","total","total","22","1","0","0","0","0","22","1"
"wacker burghausen","2010-11","3. liga","11","0","0","0","0","0","11","0"
"wacker burghausen","total","total","11","0","0","0","0","0","11","0"
"nea salamina","2011-12","cypriot first division","17","1","0","0","0","0","17","1"
"nea salamina","total","total","17","1","0","0","0","0","17","1"
"kerkyra","2012-13","superleague greece","26","0","2","0","0","0","28","0"
"kerkyra","total","total","26","0","2","0","0","0","28","0"
"nea salamina","2013-14","cypriot first division","31","8","1","0","0","0","32","8"
"nea salamina","2014-15","cypriot first division","26","4","2","0","0","0","28","4"
"nea salamina","total","total","57","12","3","0","0","0","60","12"
"career total","career total","career total","217","19","15","2","8","1","240","22"
