"","1980 to 2000","2000 to 2013"
"","percent","percent"
"real gross output","3.7","2.4"
"contributions","",""
"labour input","0.1","0.5"
"capital input","1.6","3.0"
"natural capital input","0.4","0.1"
"intermediate input","1.8","1.6"
"mfp growth","-0.2","-2.8"
"addendum","",""
"real output growth","3.7","2.4"
"labour input growth","2.4","7.6"
"capital input growth","3.9","6.7"
"natural capital input growth","3.4","2.3"
"intermediate input growth","4.8","4.6"
"mfp growth without natural capital","-0.7","-3.6"
