"","remoteness","all health services","ambulatory health care services","hospitals","nursing and residential care","social assistance","credit intermediation","legal services","selected retail services"
"","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms","correlation coefficient in absolute value terms"
"remoteness","1.00","..","..","..","..","..","..","..",".."
"all health services","0.93","1.00","..","..","..","..","..","..",".."
"ambulatory health care services","0.85","0.88","1.00","..","..","..","..","..",".."
"hospitals","0.74","0.76","0.77","1.00","..","..","..","..",".."
"nursing and residential care","0.84","0.87","0.92","0.82","1.00","..","..","..",".."
"social assistance","0.84","0.88","0.93","0.78","0.90","1.00","..","..",".."
"credit intermediation","0.85","0.86","0.94","0.78","0.90","0.91","1.00","..",".."
"legal services","0.83","0.85","0.93","0.73","0.91","0.91","0.91","1.00",".."
"selected retail services","0.87","0.86","0.94","0.77","0.91","0.90","0.91","0.91","1.00"
