"club","season","league","league","league","domestic cup","domestic cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"arsenal","2009-10","premier league","0","0","0","0","1","0","0","0","0","0","1","0"
"brentford","2009-10","league one","28","0","0","0","0","0","0","0","0","0","28","0"
"arsenal","2010-11","premier league","15","0","2","0","5","0","2","0","0","0","24","0"
"arsenal","2011-12","premier league","38","0","1","0","0","0","9","0","0","0","48","0"
"arsenal","2012-13","premier league","25","0","4","0","1","0","3","0","0","0","33","0"
"arsenal","2013-14","premier league","37","0","0","0","0","0","9","0","0","0","46","0"
"arsenal","2014-15","premier league","17","0","5","0","0","0","6","0","1","0","29","0"
"arsenal","total","total","132","0","12","0","7","0","29","0","1","0","181","0"
"roma","2015-16","serie a","34","0","0","0","-","-","8","0","0","0","42","0"
"roma","2016-17","serie a","38","0","0","0","-","-","1","0","0","0","39","0"
"roma","total","total","72","0","0","0","-","-","9","0","0","0","81","0"
"juventus","2017-18","serie a","17","0","2","0","-","-","2","0","0","0","21","0"
"juventus","2018-19","serie a","25","0","2","0","-","-","10","0","1","0","38","0"
"juventus","total","total","42","0","4","0","-","-","12","0","1","0","59","0"
"career total","career total","career total","274","0","16","0","7","0","50","0","2","0","349","0"
