"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"flandria","2005-06","primera b metropolitana","23","0","0","0","-","-","0","0","23","0"
"fenix","2007-08","primera c metropolitana","41","0","0","0","-","-","0","0","41","0"
"san martin","2010-11","primera b nacional","20","0","0","0","-","-","2","0","22","0"
"san martin","2011-12","primera division","1","0","1","0","-","-","0","0","2","0"
"san martin","2012-13","primera division","0","0","0","0","-","-","0","0","0","0"
"san martin","2013-14","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"san martin","total","total","21","0","1","0","-","-","2","0","24","0"
"banfield","2012-13","primera b nacional","15","0","1","0","-","-","0","0","16","0"
"villa dalmine","2013-14","primera b metropolitana","17","0","0","0","-","-","0","0","17","0"
"villa dalmine","2014","primera b metropolitana","20","1","0","0","-","-","4","0","24","1"
"villa dalmine","2015","primera b nacional","37","1","1","0","-","-","0","0","38","1"
"villa dalmine","2016","primera b nacional","15","0","0","0","-","-","0","0","15","0"
"villa dalmine","2016-17","primera b nacional","35","1","1","0","-","-","0","0","36","1"
"villa dalmine","total","total","124","3","2","0","-","-","4","0","130","3"
"crucero del norte","2017-18","torneo federal a","21","1","3","0","-","-","6","0","30","1"
"arsenal de sarandi","2018-19","primera b nacional","3","0","0","0","-","-","0","0","3","0"
"career total","career total","career total","248","3","7","0","-","-","12","0","267","3"
