"no","pos","nat","player","total","total","ligue 1","ligue 1","coupe de la ligue","coupe de la ligue","coupe de france","coupe de france","uefa cup","uefa cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","france","mickael landreau","53","0","38","0","3","0","2","0","10","0"
"30","gk","armenia","apoula edel","4","0","0","0","1","0","1","0","2","0"
"2","df","brazil","ceara","52","0","37","0","3","0","3","0","9","0"
"3","df","france","mamadou sakho","33","1","23","1","3","0","1","0","6","0"
"6","df","france","gregory bourillon","18","0","8","0","3","0","1","0","6","0"
"13","df","mali","sammy traore","33","3","19","1","1","0","3","2","10","0"
"15","df","france","zoumana camara","52","0","36","0","4","0","3","0","9","0"
"17","df","democratic republic of the congo","larrys mabiala","7","1","2","1","1","0","0","0","4","0"
"22","df","france","sylvain armand","53","0","35","0","4","0","3","0","11","0"
"4","mf","france","claude makelele","40","0","34","0","0","0","1","0","5","0"
"10","mf","benin","stephane sessegnon","49","7","34","5","4","0","2","1","9","1"
"20","mf","france","clement chantome","36","1","21","0","3","0","2","0","10","1"
"23","mf","france","jeremy clement","51","2","35","1","4","1","3","0","9","0"
"24","mf","france","tripy makonda","8","0","4","0","0","0","1","0","3","0"
"25","mf","france","jerome rothen","49","4","34","3","3","0","2","0","10","1"
"26","mf","france","granddi ngoyi","1","0","0","0","0","0","0","0","1","0"
"27","mf","france","younousse sankhare","8","0","2","0","2","0","0","0","4","0"
"29","mf","democratic republic of the congo","youssouf mulumbu","3","0","0","0","1","0","0","0","2","0"
"7","fw","france","ludovic giuly","42","9","34","9","1","0","3","0","4","0"
"8","fw","france","peguy luyindula","51","13","34","5","4","2","1","0","12","6"
"9","fw","france","guillaume hoarau","47","20","33","17","2","0","3","0","9","3"
"12","fw","france","fabrice pancrate","37","2","22","1","4","1","2","0","9","0"
"14","fw","serbia","mateja kezman","35","8","21","3","4","0","2","2","8","3"
"18","fw","france","loris arnaud","3","1","1","1","0","0","0","0","2","0"
"21","fw","haiti","jean-eudes maurice","1","0","0","0","0","0","0","0","1","0"
"28","fw","france","maxime partouche","2","0","1","0","0","0","0","0","1","0"
"29","fw","france","yannick boli","1","0","1","0","0","0","0","0","0","0"
