"","manitoba and saskatchewan","manitoba and saskatchewan","manitoba and saskatchewan","alberta","alberta","alberta","british columbia","british columbia","british columbia"
"","present in 2011","expected in 2011","difference","present in 2011","expected in 2011","difference","present in 2011","expected in 2011","difference"
"","numbers","numbers","numbers","numbers","numbers","numbers","numbers","numbers","numbers"
"total - health care professionals","6,785","6,630","155","9,635","10,590","-955","12,325","12,335","-10"
"registered nurses and registered psychiatric nurses","1,630","1,370","260","2,540","2,105","435","2,655","2,525","130"
"general practitioners and family physicians","410","330","80","680","935","-255","1,030","1,030","0"
"psychologists","65","80","-15","400","420","-20","390","360","30"
"social workers","370","285","85","375","360","15","675","785","-110"
"pharmacists","215","175","40","215","220","-5","260","290","-30"
"licensed practical nurses","185","255","-70","330","355","-25","300","415","-115"
"paramedical occupations","105","125","-20","115","180","-65","180","195","-15"
"nurse aides, orderlies and patient service associates","1,230","1,655","-425","985","1,140","-155","820","1,040","-220"
"other health care professionals","2,575","2,420","155","3,990","4,885","-895","6,015","5,645","370"
