"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"cacereno","2003-04","segunda division b","16","0","-","-","16","0","none","none"
"cerro reyes","2004-05","tercera division","18","3","-","-","0","0","18","3"
"ciudad lorca","2005-06","tercera division","?","?","-","-","?","?","?","?"
"villanovense","2006-07","segunda division b","32","2","1","0","-","-","33","2"
"xerez 'b'","2007-08","tercera division","25","3","-","-","25","3","none","none"
"manchego","2008-09","tercera division","28","7","-","-","28","7","none","none"
"badajoz","2009-10","tercera division","35","7","-","-","2","0","37","7"
"badajoz","2010-11","segunda division b","28","2","3","0","-","-","31","2"
"albacete","2011-12","segunda division b","30","5","6","0","3","0","39","5"
"albacete","2012-13","segunda division b","33","1","1","0","2","0","36","1"
"albacete","total","total","245","30","11","0","7","0","263","30"
"murcia","2013-14","segunda division","28","1","1","0","1","0","30","1"
"ponferradina","2014-15","segunda division","23","0","1","0","-","-","24","0"
"aek larnaca","2015-16","cypriot first division","32","3","3","0","2","0","37","3"
"aek larnaca","2016-17","cypriot first division","23","2","0","0","8","0","31","2"
"aek larnaca","2017-18","cypriot first division","31","1","5","0","8","1","44","2"
"aek larnaca","2018-19","cypriot first division","21","2","4","0","11","1","36","3"
"aek larnaca","total","total","158","9","14","0","30","2","202","11"
"career total","career total","career total","403","39","22","0","35","2","465","41"
