"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rad","2012-13","superliga","4","0","0","0","-","-","4","0","none","none"
"rad","2013-14","superliga","19","0","1","0","-","-","1","0","21","0"
"rad","2014-15","superliga","24","2","2","0","-","-","26","2","none","none"
"rad","2015-16","superliga","7","3","0","0","-","-","7","3","none","none"
"rad","total","total","54","5","3","0","-","-","1","0","58","5"
"partizan","2015-16","superliga","14","5","4","2","-","-","18","7","none","none"
"partizan","2016-17","superliga","25","2","3","0","2","0","-","-","31","2"
"partizan","2017-18","superliga","1","1","-","-","2","0","-","-","3","1"
"partizan","total","total","40","8","7","2","4","0","-","-","52","10"
"heerenveen","2017-18","eredivisie","9","1","1","0","-","-","10","1","none","none"
"career total","career total","career total","103","14","11","2","4","0","1","0","119","16"
