"year","team","games","punt return","punt return","punt return","punt return","punt return","kick return","kick return","kick return","kick return","kick return"
"year","team","games","att","yds","td","fc","lng","att","yds","td","fc","lng"
"2008","atl","6","0","0","0","0","0","1","19","0","0","19"
"2009","atl","16","27","270","0","14","28","48","1,214","0","0","62"
"2010","atl","16","18","230","1","19","55","40","1,100","1","0","102"
"2011","atl","16","32","315","0","19","42","24","563","0","0","37"
"2012","chi","16","1","0","0","1","0","13","231","0","0","27"
"2013","chi","16","0","0","0","1","0","5","57","0","0","19"
"2014","atl","16","0","0","0","0","0","2","34","0","0","17"
"2015","atl","16","19","221","0","16","41","15","403","0","0","50"
"2016","atl","16","24","273","0","21","73","17","391","0","0","42"
"2017","ten","16","2","15","0","0","13","2","18","0","0","18"
"total","total","150","123","1,324","1","91","73","167","4,030","1","0","102"
