"","all","without a disability","with a disability"
"","predicted probability","predicted probability","predicted probability"
"disability status","","",""
"without a disability","0.06","..",".."
"with a disability","0.16","..",".."
"family composition","","",""
"couple, spouse without a disability","0.05","0.04","0.08"
"couple, spouse with a disability","0.08","0.06","0.20"
"lone parent with child under 25","0.26","0.21","0.51"
"other family types or living with non-relatives","0.11","0.09","0.21"
"persons living alone","0.26","0.19","0.49"
"age group","","",""
"25 to 44","0.09","0.08","0.18"
"45 to 64","0.07","0.05","0.18"
"sex","","",""
"male","0.07","0.06","0.17"
"female","0.08","0.07","0.18"
"region","","",""
"atlantic","0.09","0.08","0.18"
"quebec","0.09","0.07","0.19"
"ontario","0.09","0.07","0.23"
"prairies","0.04","0.04","0.08"
"british columbia","0.08","0.06","0.17"
"education level","","",""
"less than a high school diploma","0.18","0.18","0.30"
"high school diploma","0.11","0.10","0.20"
"postsecondary below a bachelor degree","0.07","0.06","0.15"
"bachelor degree or more","0.05","0.04","0.13"
"immigration status","","",""
"non-immigrant","0.07","0.05","0.18"
"immigrant","..","0.11","0.16"
"immigrant before 2004","0.09","..",".."
"recent immigrant","0.22","..",".."
"aboriginal identity","","",""
"non-aboriginal","0.08","..",".."
"aboriginal","0.16","..",".."
