"region and type of smoker","1991","1991","1991","2001","2001","2001","2012","2012","2012"
"region and type of smoker","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"region and type of smoker","%","from","to","%","from","to","%","from","to"
"total","","","","","","","","",""
"daily smoker","64","62","66","61","59","64","52","50","55"
"occasional smoker","7","6","9","6","5","7","9","8","11"
"non-smoker","29","27","31","32","30","35","38","36","41"
"outside inuit nunangat","","","","","","","","",""
"daily smoker","49","46","52","43","35","50","29","23","36"
"occasional smoker","7","5","8","6","4","10","8","5","11"
"non-smoker","44","41","47","51","44","58","64","57","70"
"inside inuit nunangat","","","","","","","","",""
"daily smoker","68","66","69","67","66","69","63","60","65"
"occasional smoker","8","7","9","6","5","7","10","9","12"
"non-smoker","25","23","26","27","25","28","27","25","29"
"nunavut","","","","","","","","",""
"daily smoker","69","67","71","67","65","69","63","60","66"
"occasional smoker","8","7","9","6","5","7","10","8","12"
"non-smoker","23","21","25","28","26","30","27","24","30"
"nunavik","","","","","","","","",""
"daily smoker","67","65","69","74","71","77","67","63","70"
"occasional smoker","7","6","7","4","3","6","10","8","12"
"non-smoker","27","25","28","22","19","24","24","21","27"
"inuvialuit settlement region","","","","","","","","",""
"daily smoker","67","65","68","65","60","70","57","53","62"
"occasional smoker","9","8","10","10","8","14","13","10","16"
"non-smoker","25","23","26","24","21","29","30","26","34"
"nunatsiavut","","","","","","","","",""
"daily smoker","56","55","58","50","44","56","50","46.1","54.8"
"occasional smoker","9","8","10","12","8","17","11","8.7","14.1"
"non-smoker","35","33","37","38","32","45","38","34.3","42.7"
