"naty","team","from","to","record","record","record","record","record","record","record","record"
"naty","team","from","to","g","w","d","l","gf","ga","gd","win %"
"united states","san fernando valley","1997","1997","18","9","7","2","30","31","-1","50.00"
"iran","persepolis","27 july 2007","18 november 2008","51","26","15","10","88","59","+29","50.98"
"iran","iran","22 april 2009","22 january 2011","30","16","6","8","39","27","+12","53.33"
"japan","shimizu s-pulse","1 february 2011","30 july 2014","146","59","29","58","219","198","+21","40.41"
"thailand","buriram united","24 may 2016","20 august 2016","22","12","7","3","61","28","+33","54.55"
"china","shijiazhuang ever bright","7 november 2016","1 november 2018","51","25","19","7","80","55","+25","49.02"
"iran","foolad","1 december 2018","present","4","3","1","0","2","1","+1","75.00"
"career totals","career totals","career totals","career totals","303","140","77","86","493","383","+110","46.20"
