"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"prime","2005","nigeria national league","5","0","0","0","0","0","0","0","5","0"
"julius berger","2006","nigeria premier league","10","5","0","0","0","0","0","0","10","5"
"lyn","2007","tippeligaen","7","3","0","0","0","0","0","0","7","3"
"lyn","2008","tippeligaen","13","6","0","0","0","0","0","0","13","6"
"lyn","total","total","20","9","0","0","0","0","0","0","20","9"
"udinese","2008-09","serie a","6","1","0","0","0","0","0","0","6","1"
"granada","2009-10","segunda division b","26","16","0","0","0","0","0","0","26","16"
"cesena","2010-11","serie a","3","0","1","0","0","0","0","0","4","0"
"granada","2010-11","segunda division","25","5","0","0","0","0","0","0","25","5"
"granada","2011-12","la liga","30","6","1","0","0","0","0","0","31","6"
"granada","2012-13","la liga","28","4","2","1","0","0","0","0","30","5"
"granada","2013-14","la liga","16","2","2","2","0","0","0","0","18","4"
"granada","total","total","125","33","5","3","0","0","0","0","130","36"
"watford","2014-15","championship","35","20","1","0","2","0","0","0","38","20"
"watford","2015-16","premier league","37","15","5","2","0","0","0","0","42","17"
"watford","2016-17","premier league","18","1","0","0","1","1","0","0","19","2"
"watford","total","total","90","36","6","2","3","1","0","0","99","39"
"changchun yatai","2017","chinese super league","27","15","0","0","0","0","0","0","27","15"
"changchun yatai","2018","chinese super league","28","21","0","0","0","0","0","0","28","21"
"changchun yatai","total","total","55","36","0","0","0","0","0","0","55","36"
"career total","career total","career total","314","120","12","5","3","1","0","0","329","126"
