"census metropolitan area","canadians whose household has:","canadians whose household has:","canadians whose household has:","canadians whose household has:","canadians whose household has:"
"census metropolitan area","battery-operated or wind-up radio","alternative heat source","back-up generator","alternative water source","other emergency precautions employed in the home"
"census metropolitan area","percent","percent","percent","percent","percent"
"st. john's","84","54","36","43","26"
"halifax","76","46","27","45","28"
"moncton","64","41","20","43","26"
"saint john","75","54","29","63","27"
"saguenay","64","47","24","31","19"
"quebec","58","43","14","34","19"
"sherbrooke","58","48","18","31","21"
"trois-rivieres","54","47","16","29","17"
"montreal","57","40","16","32","19"
"ottawa-gatineau","61","46","21","51","22"
"ottawa-gatineau","58","48","14","38","23"
"kingston","64","44","21","50","25"
"peterborough","67","48","25","56","23"
"oshawa","65","47","13","43","18"
"toronto","55","42","14","37","20"
"hamilton","60","51","13","40","20"
"st. catharines-niagara","59","47","22","52","24"
"kitchener","64","45","13","42","19"
"brantford","63","49","21","54","24"
"guelph","61","47","14","43","20"
"london","58","48","17","37","23"
"windsor","62","44","19","47","18"
"barrie","64","50","23","53","21"
"greater sudbury","66","44","33","44","22"
"thunder bay","62","47","32","47","22"
"winnipeg","49","37","13","37","19"
"regina","57","40","16","40","18"
"saskatoon","60","40","23","37","18"
"calgary","49","44","10","37","15"
"edmonton","48","40","17","35","20"
"kelowna","50","48","19","41","23"
"abbotsford-mission","56","54","26","53","19"
"vancouver","57","51","15","44","21"
"victoria","68","60","19","56","25"
"canada","58","48","23","43","21"
