"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"kaposvari rakoczi","2010-11","nemzeti bajnoksag i","26","1","5","0","1","0","-","-","32","1"
"kaposvari rakoczi","2011-12","nemzeti bajnoksag i","17","0","0","0","3","0","-","-","20","0"
"kaposvari rakoczi","2012-13","nemzeti bajnoksag i","27","0","1","0","1","0","-","-","29","0"
"kaposvari rakoczi","total","total","70","1","6","0","5","0","0","0","81","1"
"levadiakos","2013-14","superleague greece","21","0","1","0","-","-","22","0","none","none"
"hapoel ra'anana","2014-15","israeli premier league","14","0","3","0","0","0","-","-","17","0"
"shakhter karagandy","2015","kazakhstan premier league","23","0","1","0","-","-","24","0","none","none"
"borac cacak","2015-16","serbian superliga","12","0","2","0","-","-","14","0","none","none"
"career total","career total","career total","140","1","13","0","5","0","0","0","158","1"
