"","average quiz score","average quiz score","average quiz score","answered all five questions correctly","answered all five questions correctly","answered all five questions correctly"
"","men","women","gap","men","women","gap"
"","percent","percent","percentage point","percent","percent","percentage point"
"overall","62.2","58.6","3.6","21.5","14.7","6.8"
"age group","","","","","",""
"18 to 24","56.1","58.0","-1.9","12.4","13.8","-1.4"
"25 to 34","61.5","58.5","3.0","19.9","14.7","5.2"
"35 to 54","65.1","61.8","3.3","23.7","16.3","7.4"
"55 to 64","66.7","60.4","6.3","31.2","15.6","15.6"
"65 and over","58.5","51.2","7.3","18.5","11.6","6.9"
"education level","","","","","",""
"high school or less","53.9","52.3","1.6","15.6","10.9","4.7"
"some postsecondary","62.7","60.4","2.3","20.0","15.8","4.2"
"university degree","72.6","64.3","8.3","31.5","18.4","13.1"
"immigrant status","","","","","",""
"canadian-born","64.5","61.2","3.3","23.6","16.6","7.0"
"immigrant","54.3","48.4","5.9","14.4","7.6","6.8"
"employment status and income","","","","","",""
"not working","54.5","53.0","1.5","12.6","12.7","-0.1"
"retired","57.4","55.2","2.2","18.8","13.0","5.8"
"working","","","","","",""
"bottom income quartile","57.9","56.1","1.8","17.0","13.8","3.2"
"2nd and 3rd income quartile","63.9","61.1","2.8","22.6","15.0","7.6"
"top income quartile","74.8","68.5","6.3","34.2","20.5","13.7"
"current marital status","","","","","",""
"married or common law","64.5","60.6","3.9","24.3","16.1","8.2"
"separated, divorced or widowed","60.1","54.9","5.2","21.5","13.0","8.5"
"single, never married","57.9","55.9","2.0","15.5","12.5","3.0"
