"period","n.l","p.e.i","n.s","n.b","que","ont","man","sask","alta","b.c","y.t","n.w.t","nvt","total number of migrants"
"period","number","number","number","number","number","number","number","number","number","number","number","number","number","number"
"2006/2007","-4,067","-849","-4,126","-2,632","-12,865","-20,047","-5,500","1,549","33,809","15,005","101","-221","-157","305,062"
"2007/2008","-528","-291","-1,794","-908","-11,682","-14,750","-3,703","4,171","15,317","14,643","235","-420","-290","301,237"
"2008/2009","1,877","-536","-751","-237","-7,419","-15,601","-3,111","2,983","13,184","9,995","228","-577","-35","277,846"
"2009/2010","1,558","60","612","571","-3,258","-4,662","-2,412","2,153","-3,271","8,728","325","-351","-53","259,234"
"2010/2011","30","-210","-41","-158","-4,763","-4,007","-3,517","545","8,443","3,421","363","-179","73","257,085"
"2011/2012","545","-618","-2,866","-1,806","-6,915","-10,611","-4,212","1,878","27,652","-2,711","313","-496","-153","280,347"
"2012/2013","495","-901","-3,517","-3,290","-10,431","-13,901","-5,006","392","38,598","-1,868","-94","-482","5","261,295"
"2013/2014","234","-941","-2,571","-3,517","-14,312","-14,564","-6,851","-1,839","35,382","9,475","51","-488","-59","275,059"
"2014/2015","161","-682","-2,311","-2,790","-16,142","-8,695","-6,678","-4,528","21,594","20,379","87","-223","-172","283,809"
"2015/2016","232","30","754","-1,113","-11,118","9,077","-4,881","-4,272","-15,108","26,573","276","-250","-200","277,029"
"net since 2006/2007","537","-4,938","-16,611","-15,880","-98,905","-97,761","-45,871","3,032","175,600","103,640","1,885","-3,687","-1,041","2,778,003"
