"type of offence","2014r","2014r","2015","2015","percent change in rate 2014 to 2015","percent change in rate 2005 to 2015"
"type of offence","number","rate","number","rate","percent","percent"
"total criminal code (excluding traffic) - "crime rate"","1,793,612","5,046","1,863,675","5,198","3","-29"
"total violent crime","370,050","1,041","380,795","1,062","2","-24"
"homicide","521","1","604","2","15","-18"
"other violations causing death","108","0","88","0","-19","-17"
"attempted murder","630","2","774","2","22","-15"
"sexual assault - level 3 - aggravated","116","0","104","0","-11","-47"
"sexual assault - level 2 - weapon or bodily harm","332","1","377","1","13","-13"
"sexual assault - level 1","20,183","57","20,881","58","3","-18"
"sexual violations against children, ,","4,534","13","4,532","13","-1",".."
"assault - level 3 - aggravated","3,273","9","3,286","9","0","-5"
"assault - level 2 - weapon or bodily harm","45,096","127","47,119","131","4","-16"
"assault - level 1","153,832","433","156,688","437","1","-23"
"assault police officer","9,557","27","9,835","27","2","-7"
"other assaults","2,148","6","2,140","6","-1","-41"
"firearms - use of, discharge, pointing","1,862","5","2,295","6","22","4"
"robbery","20,932","59","22,080","62","5","-39"
"forcible confinement or kidnapping","3,290","9","3,555","10","7","-18"
"abduction","388","1","386","1","-1","-40"
"extortion","2,727","8","3,057","9","11","79"
"criminal harassment","19,640","55","20,001","56","1","-21"
"uttering threats","62,369","175","62,845","175","0","-31"
"threatening or harassing phone calls","13,992","39","14,540","41","3","-46"
"commodification of sexual activity","13","0","628","2","..",".."
"other violent criminal code violations","4,507","13","4,980","14","10","13"
"total property crime","1,098,399","3,090","1,154,315","3,220","4","-34"
"breaking and entering","152,167","428","159,338","444","4","-45"
"possess stolen property","17,417","49","19,798","55","13","-48"
"theft of motor vehicle","74,010","208","78,849","220","6","-56"
"theft over $5,000","14,249","40","15,573","43","8","-19"
"theft of $5,000 or under","472,912","1,331","488,540","1,363","2","-31"
"fraud","81,179","228","94,396","263","15",".."
"identity fraud,","12,910","36","14,201","40","9",".."
"mischief","265,027","746","274,829","767","3","-30"
"arson","8,528","24","8,791","25","2","-39"
"total other criminal code offences","325,163","915","328,565","916","0","-13"
"counterfeiting","586","2","669","2","13","-60"
"weapons violations","13,930","39","14,560","41","4","-20"
"child pornography,","3,894","11","4,314","12","10","216"
"prostitution","1,046","3","171","0","..",".."
"terrorism","76","0","173","0","126",".."
"disturbing the peace","103,142","290","104,129","290","0","-23"
"administration of justice violations","173,567","488","175,341","489","0","0"
"other violations","28,922","81","29,208","81","0","-23"
"total criminal code traffic violations","129,433","364","125,834","351","-4","-7"
"impaired driving","74,577","210","72,039","201","-4","-17"
"other criminal code traffic violations","54,856","154","53,795","150","-3","11"
"total drug offences","104,518","294","96,423","269","-9","-7"
"possession - cannabis","57,880","163","49,577","138","-15","3"
"possession - cocaine","7,658","22","7,284","20","-6","-32"
"possession - methamphetamines ,","4,771","13","6,130","17","27",".."
"possession - heroin","1,249","4","1,602","4","27","201"
"possession - methylenedioxyamphetamine,","369","1","416","1","12",".."
"possession - other drugs,","6,668","19","7,262","20","8",".."
"trafficking, production or distribution - cannabis","10,700","30","9,082","25","-16","-53"
"trafficking, production or distribution - cocaine","8,541","24","7,859","22","-9","-27"
"trafficking, production or distribution - methamphetamines,","1,535","4","1,849","5","19",".."
"trafficking, production or distribution - heroin","731","2","751","2","2","91"
"trafficking, production or distribution - methylenedioxyamphetamine,","158","0","153","0","-4",".."
"trafficking, production or distribution - other drugs,","4,258","12","4,458","12","4",".."
"total other federal statute violations","25,362","71","25,089","70","-2","-28"
"youth criminal justice act","8,045","23","6,929","19","-15","-47"
"other federal statutes","17,317","49","18,160","51","4","-15"
"total - all violations","2,052,925","5,776","2,111,021","5,888","2","-27"
