"club","season","division","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"crewe alexandra","2003-04","first division","2","0","0","0","0","0","0","0","2","0"
"crewe alexandra","2004-05","championship","2","0","0","0","0","0","0","0","2","0"
"crewe alexandra","2005-06","championship","33","2","1","0","0","0","0","0","34","2"
"crewe alexandra","2006-07","league one","43","3","1","0","1","0","5","0","50","3"
"crewe alexandra","2007-08","league one","42","6","2","0","1","0","0","0","45","6"
"crewe alexandra","total","total","122","11","4","0","2","0","5","0","133","11"
"yeovil town","2008-09","league one","30","2","2","0","1","0","1","0","34","2"
"rotherham united","2009-10","league two","13","3","2","0","0","0","0","0","15","3"
"port vale","2010-11","league two","35","2","4","0","2","0","2","0","43","2"
"port vale","2011-12","league two","11","4","2","0","1","1","1","0","15","5"
"port vale","total","total","46","6","6","0","3","1","3","0","58","7"
"mansfield town","2011-12","conference national","17","3","0","0","0","0","2","0","19","3"
"mansfield town","2012-13","conference national","10","0","0","0","0","0","1","0","11","0"
"mansfield town","total","total","27","3","0","0","0","0","3","0","30","3"
"floriana","2012-13","maltese premier league","13","2","1","0","0","0","0","0","14","2"
"floriana","2013-14","maltese premier league","7","0","0","0","0","0","0","0","7","0"
"floriana","total","total","20","2","1","0","0","0","0","0","21","2"
"gap connah's quay","2013-14","welsh premier league","10","0","0","0","0","0","0","0","10","0"
"gap connah's quay","2014-15","welsh premier league","13","0","0","0","0","0","0","0","13","0"
"gap connah's quay","total","total","23","0","0","0","0","0","0","0","23","0"
"mosta","2014-15","maltese premier league","9","2","2","3","0","0","1","1","12","6"
"bangor city","2016-17","welsh premier league","27","7","2","0","1","0","2","1","32","8"
"bangor city","2017-18","welsh premier league","0","0","0","0","0","0","0","0","0","0"
"bangor city","total","total","27","7","2","0","1","0","2","1","32","8"
"southport","2017-18","national league north","14","4","0","0","0","0","0","0","14","4"
"chester","2017-18","national league","12","0","0","0","0","0","1","0","13","0"
"chester","2018-19","national league north","34","4","0","0","0","0","0","0","34","4"
"chester","total","total","46","4","0","0","0","0","1","0","47","4"
"career total","career total","career total","377","44","19","3","7","1","16","2","419","50"
