"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1962-63","second division","19","4","1","1","2","1","22","6"
"stoke city","1963-64","first division","36","7","4","0","9","2","49","9"
"stoke city","1964-65","first division","23","3","0","0","4","1","27","4"
"stoke city","1965-66","first division","22","3","0","0","4","0","26","3"
"stoke city","total","total","100","17","5","1","19","4","124","22"
"oldham athletic","1966-67","third division","38","3","4","4","0","0","42","7"
"oldham athletic","1967-68","third division","37","4","1","0","1","0","39","4"
"oldham athletic","1968-69","third division","41","12","1","1","2","0","44","13"
"oldham athletic","1969-70","fourth division","37","7","2","1","1","0","40","8"
"oldham athletic","1970-71","fourth division","43","10","1","0","2","1","46","11"
"oldham athletic","1971-72","third division","41","3","1","0","2","0","44","3"
"oldham athletic","total","total","237","39","10","6","8","1","255","46"
"rochdale","1972-73","third division","37","3","1","0","2","0","40","3"
"rochdale","1973-74","third division","23","3","3","0","1","0","27","3"
"rochdale","total","total","60","6","4","0","3","0","67","6"
"career total","career total","career total","397","62","19","7","30","5","446","74"
