"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","ger","aut","bel","fra","ire","nld","nzl","swe","swi","uk","certifications","album"
"1979","ring ting ting","-","-","-","-","-","-","-","-","-","-","","n/a"
"1979","sun of jamaica","1","1","1","38","14","1","19","5","3","50","ger: platinum","sun of jamaica"
"1980","aloha-oe, until we meet again","5","1","3","-","-","4","-","-","-","-","","sun of jamaica"
"1980","bang bang lulu","-","-","-","-","-","-","-","-","-","-","","sun of jamaica"
"1980","eldorado","4","14","-","-","-","-","-","-","-","-","","land of gold"
"1980","rain","9","-","-","-","-","-","-","-","-","-","","land of gold"
"1981","seven tears","13","15","6","-","1","7","28","-","-","1","uk: gold","holiday in paradise"
"1981","christmas at sea","22","-","-","-","-","-","-","-","-","-","","n/a"
"1982","my bonnie","50","-","-","-","-","-","-","-","-","-","","tropical dreams"
"1982","robinson crusoe","-","-","-","-","-","-","-","-","-","-","","tropical dreams"
"1982","santorini goodbye","-","-","-","-","-","-","-","-","-","-","","born to win"
"1982","born to win","-","-","-","-","-","-","-","-","-","-","","born to win"
"1983","if you ever fall in love","-","-","-","-","-","-","-","-","-","-","","born to win"
"1984","don't you cry, caroline","-","-","-","-","-","-","-","-","-","-","","n/a"
"1985","marlena","-","-","-","-","-","-","-","-","-","-","","n/a"
"1985","a typical jamaican mess","-","-","-","-","-","-","-","-","-","-","","n/a"
"1995","i love the melody","-","-","-","-","-","-","-","-","-","-","","caribbean beach party"
"1995","sun of jamaica '95 version","-","-","-","-","-","-","-","-","-","-","","island of dreams"
"2005","sun of jamaica","-","-","-","-","-","62","-","-","-","-","","n/a"
"2009","over the oceans","-","-","-","-","-","-","-","-","-","-","","30th anniversary collection"
"2009","in my dreams","-","-","-","-","-","-","-","-","-","-","","30th anniversary collection"
"2010","is this the way to the world cup","-","-","-","-","-","-","-","-","-","-","","golden hits - reloaded"
"2012","traum von jamaica","-","-","-","-","-","-","-","-","-","-","","n/a"
"2013","come back 2 jamaica","-","-","-","-","-","-","-","-","-","-","","n/a"
"2013","aloha-oe","-","-","-","-","-","-","-","-","-","-","","n/a"
"2014","life","-","-","-","-","-","-","-","-","-","-","","n/a"
