"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"plymouth argyle","1973-74","third division","5","0","0","0","0","0","5","0"
"plymouth argyle","1974-75","second division","0","0","0","0","0","0","0","0"
"plymouth argyle","1975-76","second division","16","1","0","0","1","0","17","1"
"plymouth argyle","1976-77","second division","15","2","0","0","0","0","15","2"
"plymouth argyle","1977-78","third division","46","3","4","0","5","0","55","4"
"plymouth argyle","1978-79","third division","28","0","1","0","4","0","33","0"
"plymouth argyle","1979-80","third division","46","0","2","0","9","0","57","0"
"plymouth argyle","1980-81","third division","46","0","3","0","2","0","51","0"
"plymouth argyle","1981-82","third division","10","0","0","0","1","0","14","0"
"plymouth argyle","total","total","212","6","10","0","25","0","247","6"
"torquay united","1976-77","fourth division","6","3","0","0","0","0","6","3"
"exeter city","1981-82","third division","28","0","0","0","0","0","28","0"
"derby county","1982-83","second division","30","0","3","0","5","0","38","0"
"mansfield town","1983-84","fourth division","42","0","2","0","3","0","47","0"
"mansfield town","1984-85","fourth division","44","0","2","0","8","1","54","1"
"mansfield town","1985-86","fourth division","46","0","2","0","9","0","57","0"
"mansfield town","1986-87","third division","45","0","1","1","9","0","55","1"
"mansfield town","1987-88","third division","44","0","5","1","8","0","57","1"
"mansfield town","1988-89","third division","42","0","2","0","4","0","48","0"
"mansfield town","1989-90","third division","42","0","1","0","7","0","50","0"
"mansfield town","1990-91","third division","34","0","3","0","5","0","42","0"
"mansfield town","1991-92","fourth division","24","0","1","0","4","0","29","0"
"mansfield town","1992-93","second division","10","0","0","0","0","0","10","0"
"mansfield town","total","total","373","0","19","2","57","1","449","3"
"career total","career total","career total","649","9","32","2","87","1","768","12"
