"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"regatas","2013-14","torneo argentino b","4","0","0","0","-","-","0","0","4","0"
"union aconquija","2015","torneo federal a","2","0","0","0","-","-","0","0","2","0"
"villa mitre","2015","torneo federal b","24","4","0","0","-","-","0","0","24","4"
"villa mitre","2016","torneo federal a","11","0","2","0","-","-","0","0","13","0"
"villa mitre","total","total","35","4","2","0","-","-","0","0","37","4"
"estudiantes","2016-17","primera b metropolitana","1","0","0","0","-","-","0","0","1","0"
"tigre","2017-18","primera division","0","0","0","0","-","-","0","0","0","0"
"acassuso","2017-18","primera b metropolitana","2","0","0","0","-","-","0","0","2","0"
"san carlos","2018-19","liga fpd","9","0","-","-","0","0","9","0","none","none"
"egersunds ik","2019","2. divisjon","1","0","0","0","-","-","0","0","1","0"
"career total","career total","career total","54","4","2","0","-","-","0","0","56","4"
