"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"zhetysu","2010","kazakhstan premier league","22","7","none","none","none","none","22","7","none","none"
"zhetysu","2011","kazakhstan premier league","22","5","none","none","none","none","22","5","none","none"
"zhetysu","2012","kazakhstan premier league","26","1","4","1","2","0","none","none","32","2"
"zhetysu","2013","kazakhstan premier league","14","2","0","0","none","none","14","2","none","none"
"zhetysu","total","total","84","15","4","1","2","0","none","none","90","16"
"atyrau","2013","kazakhstan premier league","17","4","0","0","none","none","17","4","none","none"
"atyrau","2014","kazakhstan premier league","2","0","0","0","none","none","2","0","none","none"
"atyrau","total","total","19","4","0","0","none","none","none","none","19","4"
"taraz","2014","kazakhstan premier league","24","7","2","0","-","-","26","7","none","none"
"astana","2015","kazakhstan premier league","20","3","4","1","7","0","1","0","32","4"
"astana","2016","kazakhstan premier league","15","0","2","0","0","0","1","0","18","0"
"astana","2017","kazakhstan premier league","0","0","0","0","0","0","0","0","0","0"
"astana","2018","kazakhstan premier league","26","10","0","0","6","0","1","0","33","10"
"astana","total","total","61","13","6","1","13","0","3","0","83","14"
"aktobe","2016","kazakhstan premier league","8","6","0","0","-","-","8","6","none","none"
"tobol","2017","kazakhstan premier league","28","10","1","0","-","-","29","10","none","none"
"career total","career total","career total","224","55","13","2","15","0","3","0","255","57"
