"year","international","international","regional","regional","domestic","domestic","unscheduled","unscheduled","total","total"
"year","aircraft movements","% change","aircraft movements","% change","aircraft movements","% change","aircraft movements","% change","aircraft movements","% change"
"2006-07","53,003","no data","17,684","no data","114,917","no data","26,037","no data","211,641","no data"
"2007-08","59,031","11.4%","18,799","6.3%","121,621","5.8%","29,591","13.6%","229,042","8.2%"
"2008-09","57,559","2.5%","17,965","4.4%","109,372","10.1%","28,297","4.4%","213,193","6.9%"
"2009-10","59,382","3.2%","19,732","9.8%","103,166","5.7%","20,252","28.4%","202,532","5.0%"
"2010-11","63,414","6.8%","19,846","0.6%","105,627","2.4%","24,031","18.7%","212,918","5.1%"
"2011-12","63,233","0.3%","20,769","4.6%","107,053","1.3%","21,515","10.4%","212,570","0.1%"
"2012-13","63,610","0.3%","19,021","8.4%","95,869","10.4%","21,302","0.9%","199,802","6.0%"
"2013-14","66,993","6.0%","19,408","2.0%","96,788","0.9%","23,414","9.9%","206,603","3.4%"
"2014-15","65,874","1.6%","21,164","9.0%","103,612","6.5%","26,977","13.2%","217,627","5.0%"
"2015-16","65,910","0.1%","21,382","1.0%","110,741","6.8%","26,158","3.0%","224,191","3.0%"
"2016-17","65,705","0.3%","21,069","1.4%","110,173","0.5%","22,987","12.1%","220,934","1.5%"
