"agency","2017","preliminary","preliminary"
"agency","2017","2018","% change 2017-18"
"all agencies","48724.6","50272.6","3.2"
"department of agriculture","202.1","195.8","-3.1"
"department of defense","37694.6","41980.4","11.4"
"advanced technology","5707.6","6432.1","12.7"
"major systems","31987","35548.3","11.1"
"department of energy","2349.5","2406.2","2.4"
"department of health and human services","92.4","69.5","-24.8"
"national aeronautics and space administration","6849.4","3964","-42.1"
"national science foundation","0","0","0"
"all other departments and agencies","1536.7","1656.7","7.8"
