"","received support for caregiving in the past 12 months","received support for caregiving in the past 12 months","received support for caregiving in the past 12 months"
"","any type of support","social support","financial support"
"","percent","percent","percent"
"sex","","",""
"male","68","65","23"
"female","72","69","22"
"age","","",""
"15 to 34","70","65","29"
"35 to 64","72","69","21"
"65 and older","67","64","17"
"province of residence","","",""
"newfoundland and labrador","75","72","24"
"prince edward island","73","68","31"
"nova scotia","76","73","25"
"new brunswick","71","67","21"
"quebec","58","54","17"
"ontario","73","70","23"
"manitoba","78","76","30"
"saskatchewan","76","73","25"
"alberta","71","68","19"
"british columbia","74","71","25"
"country of birth","","",""
"outside canada","74","70","27"
"canada","70","67","21"
"household size","","",""
"one","58","56","14"
"two","68","65","17"
"three","70","66","25"
"four","73","71","22"
"five or more","80","76","35"
"weeks employed in the past 12 months","","",""
"none","71","67","25"
"1 to 17","77","72","33"
"18 to 34","77","71","24"
"35 to 51","72","69","22"
"52","68","66","19"
"total household income in 2017","","",""
"less than $20,000","76","74","32"
"$20,000 to $39,999","73","68","30"
"$40,000 to $59,999","72","69","24"
"$60,000 to $79,999","72","67","26"
"$80,000 to $99,999","66","64","22"
"$100,000 to $119,999","66","63","19"
"$120,000 or more","70","68","18"
