"","private incorporated firms","private incorporated firms","primarily self-employed","primarily self-employed"
"","immigrant-owned","canadian-born-owned","immigrant-owned","canadian-born-owned"
"","percent distribution","percent distribution","percent distribution","percent distribution"
"industry","","","",""
"construction of buildings","2.2","4.3","3.2","2.8"
"specialty trade contractors","4.8","8.6","6.3","6.3"
"manufacturing","3.9","5.4","1.6","1.3"
"wholesale trade","5.3","5.4","1.1","1.0"
"retail trade","11.2","9.6","6.0","4.5"
"truck transportation","6.8","3.1","3.8","1.9"
"transit and ground passenger transportation","0.2","0.3","5.2","1.0"
"lessors of real estate","1.2","1.8","17.0","16.3"
"offices of real estate agents and brokers","0.5","0.7","2.0","2.0"
"accounting, tax preparation, bookkeeping and payroll services","0.9","1.5","2.1","3.4"
"architectural, engineering and related services","2.1","2.2","0.8","0.7"
"computer systems design and related services","6.2","2.8","1.1","0.7"
"management, scientific and technical consulting services","2.7","3.6","4.4","4.0"
"services to buildings and dwellings","1.6","1.8","12.5","9.0"
"offices of physicians","3.9","2.8","1.3","2.1"
"offices of dentists","1.4","1.2","0.5","0.6"
"child day-care services","0.4","0.3","6.7","4.4"
"food services and drinking places","10.1","4.3","1.0","0.7"
"all other industries","34.6","40.5","23.5","37.2"
"total percent of owners","100.0","100.0","100.0","100.0"
"","number","number","number","number"
"total","144,350","642,836","399,163","1,328,227"
"","percent","percent","percent","percent"
"knowledge-based industries","13.2","11.1","8.0","7.4"
