"","non-mortgage payment skipped or delayed in the past year","mortgage payment skipped or delayed in the past year","payday loan used in past three years"
"","predicted probability","predicted probability","predicted probability"
"debt-to-asset ratio category","","",""
"up to 0.25","0.080","0.016","0.027"
"above 0.25 and up to 0.50","0.122","0.042","0.031"
"above 0.50","0.128","0.073","0.060"
"age group of main income earner","","",""
"15 to 34 years","0.114","0.020","0.034"
"35 to 44 years","0.105","0.039","0.037"
"45 to 54 years","0.125","0.042","0.047"
"55 to 64 years","0.099","0.081","0.042"
"over 64 years","0.062","0.041","0.040"
"family type","","",""
"unattached","0.110","0.045","0.024"
"couple with no children","0.083","0.024","0.035"
"couple with children","0.106","0.040","0.041"
"lone parent","0.121","0.094","0.084"
""other" family types","0.116","0.045","0.063"
"education of main income earner","","",""
"less than high school","0.112","0.054","0.075"
"high school","0.117","0.038","0.048"
"some postsecondary","0.121","0.046","0.041"
"university diploma or degree","0.079","0.033","0.016"
"income group","","",""
"first quintile","0.128","0.068","0.037"
"second quintile","0.134","0.038","0.046"
"third quintile","0.097","0.048","0.038"
"fourth quintile","0.095","0.041","0.038"
"fifth quintile","0.051","0.022","0.033"
"region","","",""
"atlantic","0.073","0.043","0.038"
"quebec","0.136","0.034","0.014"
"ontario","0.096","0.032","0.046"
"prairies","0.106","0.068","0.056"
"british columbia","0.091","0.039","0.044"
"sex of main income earner","","",""
"male","0.107","0.042","0.040"
"female","0.103","0.038","0.037"
"home ownership status","","",""
"own without mortgage","0.078","..","0.017"
"own with mortgage","0.085","..","0.019"
"do not own","0.140","..","0.082"
