"rank","institution","2012","2012","2013","2013","2014","2014","2015","2015"
"rank","institution","all federal obligations","r&d","all federal obligations","r&d","all federal obligations","r&d","all federal obligations","r&d"
"","all minority-serving institutions","673791","424700","720406","468697","771796","514866","783312","539381"
"1","new mexico state u","na","na","78835","70022","87644","75235","48786","40952"
"2","florida international u","36231","32997","35296","30770","35138","30301","45340","36962"
"3","morehouse school of medicine","28223","23001","29445","23583","33244","27587","30298","24988"
"4","u. texas, el paso","27739","18430","23111","16879","25080","20011","29669","22265"
"5","north carolina agricultural and technical state u","26688","15811","24762","14811","27490","19689","29380","18471"
"6","u. puerto rico, medical sciences campus","26449","26449","29571","28083","25835","25774","25970","25149"
"7","u. texas, san antonio","23053","20084","20505","16802","20940","18715","23322","21479"
"8","cuny, city c","25542","22752","22957","22005","29241","27219","22430","20334"
"9","u. puerto rico, mayaguez","20170","8156","18749","8299","24253","11798","20861","10347"
"10","howard u","23797","15437","20348","11635","22022","14743","20144","14746"
"11","florida a&m u","15431","7433","16545","10478","17421","11692","19495","13104"
"12","prairie view a&m u","14975","7288","13909","7769","13931","6766","17139","12239"
"13","tennessee state u","12194","6855","13824","6886","18570","6014","15681","8454"
"14","meharry medical c","24872","18703","20659","15202","16991","11053","15087","9383"
"15","hampton u","9858","7280","11800","9012","11479","10028","15009","12207"
"16","alabama a&m u","14603","7103","11381","6007","10780","4436","13987","9642"
"17","u. texas rio grande valley","10419","7716","9866","5083","8696","4707","13516","9706"
"18","tuskegee u","19754","15118","18850","10846","17831","10465","12592","7213"
"19","jackson state u","13395","8353","14776","12209","10882","6775","12163","9454"
"20","u. of the district of columbia","5634","2597","3887","1257","4020","1029","11662","2326"
"","all other minority-serving institutions","294764","153140","281329","141060","310310","170832","340781","209960"
