"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"brentford","1959-60","third division","2","0","0","0","-","-","2","0"
"brentford","1960-61","third division","32","1","2","0","3","0","37","1"
"brentford","1961-62","third division","46","2","5","1","1","0","52","3"
"brentford","1962-63","fourth division","46","1","1","0","2","0","49","1"
"brentford","1963-64","third division","37","1","5","0","1","0","43","1"
"brentford","1964-65","third division","31","2","3","0","1","0","35","2"
"brentford","1965-66","third division","30","1","2","0","2","0","34","1"
"brentford","1966-67","fourth division","43","2","4","0","3","0","50","2"
"brentford","1967-68","fourth division","42","3","2","0","1","0","45","3"
"brentford","1968-69","fourth division","39","1","1","0","3","0","43","1"
"brentford","1969-70","fourth division","40","1","2","0","3","0","45","1"
"career total","career total","career total","387","15","27","1","20","0","433","16"
