"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"saint-etienne","2007-08","ligue 1","7","0","0","0","0","0","-","-","7","0"
"saint-etienne","2008-09","ligue 1","29","1","0","0","0","0","9","1","38","2"
"saint-etienne","2009-10","ligue 1","29","1","2","0","1","0","0","0","32","0"
"saint-etienne","2010-11","ligue 1","1","0","0","0","0","0","0","0","1","0"
"saint-etienne","total","total","66","2","2","0","1","0","9","1","78","3"
"cesena","2010-11","serie a","15","0","1","0","-","-","16","0","none","none"
"cesena","2011-12","serie a","11","0","3","1","-","-","14","1","none","none"
"cesena","2012-13","serie a","0","0","2","0","-","-","2","0","none","none"
"cesena","total","total","26","0","6","1","-","-","32","1","none","none"
"parma","2012-13","serie a","21","1","1","0","-","-","22","1","none","none"
"parma","2013-14","serie a","4","0","1","0","-","-","5","0","none","none"
"parma","total","total","25","1","2","0","-","-","27","1","none","none"
"atalanta","2013-14","serie a","17","0","1","0","-","-","18","0","none","none"
"atalanta","2014-15","serie a","27","1","2","0","-","-","29","1","none","none"
"atalanta","total","total","44","1","3","0","-","-","47","1","none","none"
"leicester city","2015-16","premier league","4","0","2","0","3","0","-","-","9","0"
"leicester city","2016-17","premier league","11","0","2","0","0","0","2","0","18","0"
"leicester city","2017-18","premier league","1","0","3","0","1","0","-","-","5","0"
"leicester city","total","total","16","0","7","0","4","0","2","0","29","0"
"fiorentina","2015-16","serie a","0","0","0","0","-","-","0","0","0","0"
"career total","career total","career total","177","4","20","1","5","0","11","1","213","6"
