"relationship type","2015","2015","2015","2014r","2014r","2014r","average 2005 to 2014","average 2005 to 2014"
"relationship type","number of victims","percent","rate","number of victims","percent","rate","number of victims","percent"
"family relationship","163","36.2","0.45","138","33.4","0.39","149","32.6"
"spousal relationship","64","14.2","..","65","15.7","..","66","14.5"
"legal husband/wife","17","3.8","..","22","5.3","..","24","5.3"
"common-law husband/wife","28","6.2","..","26","6.3","..","27","5.8"
"separated or divorced husband/wife","3","0.7","..","11","2.7","..","8","1.8"
"separated common-law husband/wife","15","3.3","..","5","1.2","..","6","1.3"
"same-sex spouse","1","0.2","..","1","0.2","..","1","0.3"
"other family relationship","99","22.0","..","73","17.7","..","83","18.1"
"father or mother","23","5.1","..","19","4.6","..","26","5.7"
"son or daughter","27","6.0","..","31","7.5","..","25","5.4"
"sibling","12","2.7","..","6","1.5","..","10","2.2"
"extended family","37","8.2","..","17","4.1","..","23","4.9"
"intimate relationship","19","4.2","..","21","5.1","..","22","4.9"
"intimate partner relationship","83","18.4","0.28","86","20.8","0.29","88","19.4"
"acquaintance","156","34.7","0.44","152","36.8","0.43","160","35.1"
"close friend","31","6.9","..","21","5.1","..","33","7.1"
"neighbour","16","3.6","..","7","1.7","..","14","3.0"
"authority figure","1","0.2","..","6","1.5","..","3","0.6"
"business relationship","9","2.0","..","11","2.7","..","8","1.6"
"casual acquaintance","99","22.0","..","107","25.9","..","104","22.8"
"criminal relationship","54","12.0","0.15","29","7.0","0.08","47","10.4"
"stranger","58","12.9","0.16","73","17.7","0.21","78","17.0"
"unknown relationship","1","..","..","1","..","..","4",".."
"total solved homicides","451","100.0","..","414","100.0","..","460","100.0"
"unsolved homicides","153","..","..","107","..","..","122",".."
"total homicides","604","..","..","521","..","..","582",".."
