"year and order","n.l","p.e.i","n.s","n.b","que","ont","man","sask","alta","b.c","y.t","n.w.t","nvt","canada"
"year and order","in years","in years","in years","in years","in years","in years","in years","in years","in years","in years","in years","in years","in years","in years"
"2012","","","","","","","","","","","","","",""
"1st order","27.6","27.5","27.6","26.8","28.6","29.3","26.9","26.4","28.1","29.6","28.6","27.1","22.6","28.7"
"2nd order","30.3","30.1","30.0","29.3","30.8","31.5","29.5","29.0","30.5","31.9","31.0","29.0","25.0","31.0"
"3rd order","30.9","31.6","31.4","30.6","32.3","32.6","30.2","30.4","31.5","32.6","32.3","30.3","26.4","32.0"
"4th order","32.0","32.4","32.4","31.6","33.1","33.1","31.0","31.2","32.3","33.3","32.4","31.3","28.4","32.6"
"5th order and over","32.9","34.5","34.2","33.3","34.6","34.6","32.9","33.1","34.1","34.2","33.0","34.3","31.3","34.0"
"2013","","","","","","","","","","","","","",""
"1st order","27.8","28.0","27.8","27.4","28.7","29.4","27.2","26.6","28.2","29.8","28.5","27.5","21.9","28.8"
"2nd order","30.0","30.3","30.2","29.5","30.9","31.7","29.7","29.3","30.6","32.0","30.3","29.3","24.9","31.1"
"3rd order","31.1","31.1","31.6","30.7","32.4","32.7","30.3","30.6","31.6","32.8","32.0","30.6","26.3","32.2"
"4th order","32.0","32.4","32.4","31.6","33.3","33.2","30.8","31.3","32.4","33.2","33.0","32.0","28.5","32.7"
"5th order and over","32.6","34.4","34.2","33.0","34.8","34.6","32.8","33.2","33.9","34.6","36.4","33.5","31.5","34.1"
"2014","","","","","","","","","","","","","",""
"1st order","27.6","27.9","28.1","27.2","28.9","29.6","27.3","26.7","28.5","29.9","28.9","27.8","23.1","29.0"
"2nd order","30.3","30.5","30.3","29.6","31.0","31.8","29.7","29.5","30.8","32.1","31.0","28.7","24.7","31.2"
"3rd order","31.2","30.9","31.5","30.5","32.4","32.6","30.4","30.6","31.8","32.8","32.6","30.3","27.1","32.2"
"4th order","32.2","32.3","32.2","31.6","33.4","33.3","30.8","31.1","32.5","33.2","32.7","31.4","28.3","32.7"
"5th order and over","33.5","34.1","34.3","32.3","34.8","34.7","32.8","33.0","34.2","34.4","38.1","34.1","31.9","34.1"
"2015","","","","","","","","","","","","","",""
"1st order","27.9","27.5","28.3","27.4","29.0","29.8","27.5","26.9","28.6","30.1","28.6","27.5","22.2","29.2"
"2nd order","30.2","30.3","30.4","29.6","31.1","31.8","29.9","29.6","30.8","32.2","30.7","30.0","24.5","31.3"
"3rd order","31.1","31.7","31.3","30.4","32.6","32.8","30.7","30.8","31.8","32.9","31.6","31.0","26.2","32.3"
"4th order","31.1","32.3","32.5","31.7","33.3","33.4","31.1","31.5","32.6","33.4","32.4","33.2","28.5","32.9"
"5th order and over","33.3","35.5","34.4","32.6","34.9","34.7","32.9","33.3","34.5","34.7","32.9","34.7","31.6","34.3"
"2016","","","","","","","","","","","","","",""
"1st order","27.9","28.1","28.2","27.5","29.0","29.8","27.6","27.2","28.7","30.3","29.2","27.8","22.4","29.2"
"2nd order","30.5","30.8","30.6","29.6","31.1","32.0","29.9","29.4","31.0","32.3","31.9","29.4","24.9","31.4"
"3rd order","31.5","31.4","31.3","30.9","32.6","32.8","30.8","30.7","32.0","32.9","33.1","32.4","26.7","32.3"
"4th order","32.0","32.7","32.4","31.7","33.5","33.5","31.1","31.5","32.7","33.4","33.7","31.1","28.3","33.0"
"5th order and over","33.8","33.9","34.3","33.3","35.0","34.8","33.1","33.3","34.2","34.8","34.7","34.9","32.4","34.3"
