"type of victimization and gender of victim","before age 15","before age 15","before age 15","since age 15","since age 15","since age 15","in the 12 months preceding the survey","in the 12 months preceding the survey","in the 12 months preceding the survey"
"type of victimization and gender of victim","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"type of victimization and gender of victim","percent","from","to","percent","from","to","percent","from","to"
"physical assault","","","","","","","","",""
"women","26.0","22.9","29.3","40.3","36.4","44.3","5.5","4.1","7.4"
"men","28.4","25.3","31.7","52.1","48.3","55.8","7.2","5.6","9.3"
"total","27.2","25.2","29.4","46.3","43.7","49.0","6.4","5.2","7.8"
"sexual assault","","","","","","","","",""
"women","19.5","16.6","22.7","39.5","36.7","42.4","3.6","2.6","5.0"
"men","6.7","5.2","8.5","12.2","10.3","14.4","0.6","0.3","1.5"
"total","12.9","11.2","14.9","25.5","23.8","27.3","2.1","1.6","2.8"
"total","","","","","","","","",""
"women","34.8","31.2","38.6","52.4","48.9","55.8","7.8","6.2","9.9"
"men","30.9","27.7","34.2","54.2","50.4","57.9","7.8","6.1","9.9"
"total","32.8","30.4","35.3","53.3","50.9","55.6","7.8","6.5","9.4"
