"no","pos","nat","player","total","total","league two","league two","fa cup","fa cup","league cup","league cup","fl trophy","fl trophy"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","england","sam slocombe","28","0","23","0","2","0","2","0","1","0"
"2","df","england","george baldock","35","2","27","2","5","0","1","0","2","0"
"3","df","england","joe skarz","51","0","41","0","5","0","2","0","3","0"
"4","mf","england","kemar roofe","49","26","39+1","18","4","3","1","1","4","4"
"5","df","england","johnny mullins","51","1","39+1","0","5","0","2","1","4","0"
"6","df","england","jake wright","36","0","29","0","2","0","1","0","4","0"
"7","mf","england","danny rose","19","0","11+2","0","2+1","0","1+1","0","1","0"
"7","fw","england","george waring","15","1","3+11","1","0","0","0","0","0+1","0"
"8","mf","england","liam sercombe","58","17","45","14","4+1","2","1+1","1","5+1","0"
"9","fw","republic of ireland","patrick hoban","33","5","2+21","2","3+1","2","1+1","0","2+2","1"
"10","fw","england","danny hylton","52","14","34+7","12","1+3","0","1+1","1","4+1","1"
"11","mf","scotland","alex macdonald","52","6","35+5","5","4","0","2","0","5+1","1"
"13","gk","liechtenstein","benjamin buchel","31","0","23","0","3","0","0","0","5","0"
"14","mf","england","josh ruffels","22","0","8+8","0","0+1","0","1+1","0","2+1","0"
"15","fw","republic of ireland","callum o'dowda","50","10","18+20","8","4+1","0","1+1","0","4+1","2"
"16","mf","england","jordan graham","7","0","4+2","0","0","0","0","0","1","0"
"16","df","england","jonjoe kenny","19","0","16","0","0+1","0","0","0","2","0"
"18","mf","england","john lundstram","47","3","33+4","3","4+1","0","1","0","4","0"
"19","mf","england","zeli ismail","6","0","0+5","0","0","0","0","0","0+1","0"
"20","fw","england","ryan taylor","26","4","15+6","3","2","1","2","0","1","0"
"21","gk","new zealand","max crocombe","0","0","0","0","0","0","0","0","0","0"
"22","mf","england","sam long","3","0","0+1","0","0","0","1","0","1","0"
"23","df","england","cameron gayle","2","0","0","0","1","0","0","0","1","0"
"24","mf","england","josh ashby","4","0","0+3","0","0","0","0","0","0+1","0"
"25","df","england","freddie grant","0","0","0","0","0","0","0","0","0","0"
"26","df","england","robbie cundy","1","0","0","0","0","0","0","0","1","0"
"27","mf","antigua and barbuda","aj george","4","0","0+2","0","0+1","0","0","0","1","0"
"28","fw","scotland","chris maguire","25","5","21","4","1","0","0","0","2+1","1"
"29","fw","england","jordan bowery","20","7","9+8","7","1","0","0","0","0+2","0"
"30","mf","england","sam humphreys","1","0","0","0","0","0","0","0","0+1","0"
"31","fw","england","james roberts","4","0","1+3","0","0","0","0","0","0","0"
"32","mf","england","aidan hawtin","0","0","0","0","0","0","0","0","0","0"
"33","df","england","chey dunkley","35","4","26+3","4","2","0","1","0","3","0"
"36","df","wales","jordan evans","14","1","4+5","0","0+2","0","0","0","3","1"
