"year","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"year","team","g","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fmb","lst"
"1990","pittsburgh steelers","16","2","10","124","12.4","20t","1","0","0","0.0","0","0","0","0"
"1991","pittsburgh steelers","12","0","15","254","16.9","33t","1","0","0","0.0","0","0","0","0"
"1992","new york giants","16","1","27","335","12.4","28","1","0","12","0.0","0","0","0","0"
"1993","new york giants","16","9","35","513","14.7","47","3","0","0","0.0","6","0","0","0"
"1994","new york giants","16","14","43","666","15.5","51t","2","8","77","9.6","20","0","1","1"
"1995","new york giants","16","15","56","796","14.2","49","3","2","9","4.5","3","0","0","0"
"1996","new york giants","16","15","53","739","13.9","36","4","1","2","2.0","2","0","1","1"
"1997","new york giants","16","16","58","849","14.6","68t","8","1","1","1.0","1","0","0","0"
"1998","new york giants","16","16","62","812","13.1","36","6","0","0","0.0","0","0","1","1"
"1999","atlanta falcons","11","6","22","314","14.3","33","1","0","0","0.0","0","0","0","0"
"2000","new england patriots","7","2","5","95","19.0","28","0","0","0","0.0","0","0","none","none"
"career","career","158","96","386","5,497","14.2","68","30","12","69","5.8","20","0","3","3"
