"enterprise size class","2008","2008","2014","2014","variation of number"
"enterprise size class","number","share","number","share","variation of number"
"between 1 and 4","662,589","64.4","707,075","64.9","6.7"
"between 5 and 9","183,979","17.9","187,773","17.2","2.1"
"between 10 and 19","97,574","9.5","102,493","9.4","5.0"
"between 20 and 49","56,411","5.5","61,520","5.6","9.1"
"between 50 and 99","16,991","1.7","18,596","1.7","9.4"
"between 100 and 249","7,566","0.7","8,219","0.8","8.6"
"between 250 and 499","1,770","0.2","1,893","0.2","6.9"
"between 500 and 999","737","0.1","805","0.1","9.2"
"1,000 and above","780","0.1","762","0.1","-2.3"
"total","1,028,397","100.0","1,089,136","100.0","5.9"
