"source and funds and type of r&d","2010","2011","2012","2013","2014","2015","2016","2017"
"total","","","","","","","",""
"all r&d expenditures","61287","65274","65729","67013","67197","68551","71795","75175"
"basic research","40416","42809","42402","43305","42989","43851","45103","46465"
"applied research","15478","16734","17296","17391","17746","18025","19973","21461"
"experimental development","5392","5732","6032","6317","6461","6675","6719","7249"
"federal","","","","","","","",""
"all r&d expenditures","37478","40768","40142","39446","37960","37849","38778","40238"
"basic research","25400","27331","26469","26072","24905","24942","24949","25630"
"applied research","9362","10499","10578","10327","10016","9974","10887","11561"
"experimental development","2716","2938","3095","3047","3039","2932","2942","3047"
"nonfederal","","","","","","","",""
"all r&d expenditures","23809","24506","25587","27567","29236","30702","33017","34937"
"basic research","15017","15478","15932","17234","18084","18909","20155","20835"
"applied research","6116","6235","6718","7064","7730","8051","9086","9900"
"experimental development","2676","2793","2937","3270","3422","3742","3777","4203"
