"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","certifications","album"
"year","title","us","us country","us christ","us christ. airplay","us christ ac","us ac","certifications","album"
"2009","my best days are ahead of me","82","24","-","-","-","-","none","my best days"
"2010","i will not say goodbye","-","32","-","-","-","-","none","my best days"
"2011","second hand heart","-","48","-","-","-","-","none","love again"
"2014","hope in front of me","-","-","4","1","1","27","none","hope in front of me"
"2015","more than you think i am","-","-","17","6","8","-","none","hope in front of me"
"2015","lift up your eyes","-","-","17","13","4","-","none","christmas is here"
"2016","tell your heart to beat again","-","-","2","1","2","-","riaa: gold","hope in front of me"
"2016","rise","-","-","5","1","1","-","none","rise"
"2017","the comeback","-","-","11","6","10","-","none","rise"
"2018","masterpiece","-","-","20","15","27","-","none","rise"
"2018","if you ain't in it","-","-","26","19","23","-","none","rise"
"2018","the prayer","-","-","20","14","11","-","none","non-album single"
"2019","haven't seen it yet","-","-","4","4","8","-","none","haven't seen it yet"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
