"census metropolitan area","total crime","total crime","total crime","violent crime","violent crime","property crime","property crime","other criminal code offences","other criminal code offences","drug offences","drug offences"
"census metropolitan area","rate","percent change in rate 2015 to 2016","percent change in rate 2006 to 2016","rate","percent change in rate 2015 to 2016","rate","percent change in rate 2015 to 2016","rate","percent change in rate 2015 to 2016","rate","percent change in rate 2015 to 2016"
"st. john's","5,721","-3","-15","1,356","-3","3,414","-6","951","11","134","-11"
"halifax","4,663","-4","-46","1,016","-9","2,825","-4","822","4","249","-4"
"moncton","6,196","-9","..","1,410","3","3,584","-16","1,201","6","231","19"
"saint john","4,305","-8","..","1,207","-16","2,386","-5","713","-1","153","-18"
"saguenay","3,319","4","-17","1,033","3","1,756","-3","530","42","241","-2"
"quebec","3,000","1","-36","932","5","1,675","-5","393","24","269","26"
"sherbrooke","3,297","2","-36","714","12","1,718","-6","864","13","342","6"
"trois-rivieres","2,946","-13","-37","830","-12","1,529","-20","587","9","289","-6"
"montreal","3,389","-5","-44","894","0","2,085","-8","411","-3","269","0"
"gatineau","3,688","-1","-34","1,058","-4","1,915","-1","715","3","413","-8"
"ottawa","3,492","5","-37","614","-1","2,378","5","501","13","127","-15"
"kingston","4,743","-1","-27","770","-6","3,358","-2","615","13","95","7"
"peterborough","4,286","0","-33","828","10","2,401","-12","1,057","33","171","9"
"toronto","2,954","2","-34","745","2","1,899","2","310","10","152","-14"
"hamilton","3,502","0","-37","767","9","2,302","-4","433","3","220","-6"
"st. catharines-niagara","3,519","-1","-39","535","-5","2,510","-3","474","22","108","-16"
"kitchener-cambridge-waterloo","4,697","2","-17","854","5","2,989","-4","855","25","286","3"
"brantford","6,138","7","-28","1,310","4","4,011","5","816","25","250","4"
"guelph","4,496","13","1","735","5","3,080","16","682","9","236","7"
"london","5,503","4","-30","786","2","3,598","6","1,120","-2","179","-14"
"windsor","4,425","-1","-33","722","-18","3,104","2","598","12","228","10"
"barrie","3,567","-1","-44","741","3","2,094","-4","732","6","149","-13"
"greater sudbury","4,532","5","-23","951","1","2,647","3","935","17","201","-14"
"thunder bay","6,259","2","-29","1,464","3","3,413","-4","1,382","20","85","-19"
"winnipeg","6,653","13","-40","1,291","11","4,599","13","763","14","112","-17"
"regina","9,253","11","-25","1,137","0","5,697","14","2,418","10","185","-5"
"saskatoon","8,942","6","-26","1,193","-4","5,323","6","2,425","11","263","12"
"calgary","5,260","-1","-20","764","-3","4,093","-2","403","12","109","-6"
"edmonton","8,131","6","-16","1,128","-5","4,962","5","2,042","14","290","7"
"kelowna","8,445","2","-27","941","-14","5,718","6","1,786","1","691","-2"
"abbotsford-mission","7,009","-6","-35","1,146","-6","4,896","-6","967","-6","224","-9"
"vancouver","7,282","-1","-28","958","-8","5,092","1","1,232","-4","381","-7"
"victoria","5,689","-6","-42","1,153","-4","3,663","-6","873","-7","248","-29"
"canada","5,224","0","-28","1,052","-1","3,207","0","965","4","263","-6"
