"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aalesund","2012","tippeligaen","12","4","0","0","-","-","3","2","-","-","15","6"
"aalesund","2013","tippeligaen","26","10","2","3","-","-","28","13","none","none","none","none"
"aalesund","2014","tippeligaen","23","10","3","1","-","-","26","11","none","none","none","none"
"aalesund","2015","tippeligaen","29","13","3","2","-","-","32","15","none","none","none","none"
"aalesund","total","total","90","37","8","6","-","-","3","2","-","-","101","45"
"beijing enterprises","2016","china league one","24","13","1","0","-","-","25","13","none","none","none","none"
"beijing enterprises","2017","china league one","2","0","0","0","-","-","2","0","none","none","none","none"
"beijing enterprises","total","total","26","13","1","0","-","-","-","-","-","-","27","13"
"molde","2018","eliteserien","9","3","0","0","-","-","5","1","-","-","14","4"
"molde","2019","eliteserien","5","1","0","0","-","-","0","0","0","0","5","1"
"molde","total","total","14","4","0","0","-","-","5","1","-","-","19","5"
"career total","career total","career total","130","54","9","6","-","-","8","3","-","-","147","63"
