"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"swansea town","1952-53","second division","20","0","1","0","0","0","21","0"
"swansea town","1953-54","second division","31","10","3","0","0","0","34","10"
"swansea town","1954-55","second division","38","11","4","0","0","0","42","11"
"swansea town","1955-56","second division","34","8","1","0","0","0","35","8"
"swansea town","1956-57","second division","39","13","1","0","0","0","40","13"
"swansea town","1957-58","second division","40","10","1","1","0","0","41","11"
"swansea town","1958-59","second division","31","14","1","1","0","0","32","15"
"swansea town","total","total","233","66","12","2","0","0","245","68"
"arsenal","1959-60","first division","20","8","1","0","0","0","21","8"
"arsenal","1960-61","first division","19","3","1","0","0","0","20","3"
"arsenal","1961-62","first division","21","15","2","2","0","0","23","17"
"arsenal","total","total","60","26","4","2","0","0","64","28"
"cardiff city","1961-62","first division","12","3","0","0","0","0","12","3"
"cardiff city","1962-63","second division","33","11","1","0","2","1","36","12"
"cardiff city","1963-64","second division","26","9","1","0","1","0","28","9"
"cardiff city","1964-65","second division","8","2","0","0","1","0","9","2"
"cardiff city","total","total","79","25","2","0","4","1","85","26"
"port vale","1966-67","fourth division","7","0","0","0","0","0","7","0"
"career total","career total","career total","379","117","18","4","4","1","401","122"
