"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rangers","2012-13","scottish third division","1","0","0","0","0","0","0","0","1","0"
"rangers","2013-14","scottish league one","1","0","0","0","0","0","0","0","1","0"
"rangers","2014-15","scottish championship","14","1","1","0","0","0","6","0","21","1"
"rangers","2015-16","scottish championship","0","0","0","0","0","0","0","0","0","0"
"rangers","total","total","16","1","1","0","0","0","6","0","23","1"
"cowdenbeath","2015-16","scottish league one","13","2","2","0","0","0","0","0","15","2"
"queen of the south","2015-16","scottish championship","10","1","0","0","0","0","0","0","10","1"
"greenock morton","2016-17","scottish championship","28","1","2","0","1","0","2","0","33","1"
"greenock morton","2017-18","scottish championship","34","3","3","0","4","0","1","0","42","3"
"greenock morton","total","total","85","7","7","0","5","0","3","0","100","7"
"ayr united","2018-19","scottish championship","24","0","1","0","6","0","1","0","32","0"
"career total","career total","career total","125","8","9","0","11","0","10","0","155","8"
