"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"quilmes","2014","argentine primera division","1","0","1","0","-","-","0","0","2","0"
"quilmes","2015","argentine primera division","0","0","0","0","-","-","0","0","0","0"
"quilmes","total","total","1","0","1","0","-","-","0","0","2","0"
"comunicaciones","2015","primera b metropolitana","21","3","1","0","-","-","0","0","22","3"
"estudiantes","2016","primera b metropolitana","5","2","0","0","-","-","0","0","5","2"
"estudiantes","2016-17","primera b metropolitana","30","8","2","1","-","-","2","2","34","11"
"estudiantes","2017-18","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"estudiantes","2018-19","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"estudiantes","total","total","35","10","2","1","-","-","2","2","39","13"
"tigre","2017-18","argentine primera division","5","0","0","0","-","-","0","0","5","0"
"sarmiento","2017-18","primera b nacional","13","3","0","0","-","-","5","1","18","4"
"guarani","2018","paraguayan primera division","8","0","0","0","0","0","0","0","8","0"
"palestino","2019","chilean primera division","2","0","0","0","6","0","0","0","8","0"
"career total","career total","career total","85","16","4","1","6","0","7","3","102","20"
