"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"cesena","2008-09","lega pro prima divisione","6","1","0","0","-","-","2","0","8","1"
"cesena","2009-10","serie b","40","6","2","0","-","-","42","6","none","none"
"cesena","2010-11","serie a","17","0","1","1","-","-","18","1","none","none"
"cesena","total","total","63","7","3","1","-","-","2","0","68","8"
"catania","2010-11","serie a","14","1","0","0","-","-","14","1","none","none"
"atalanta","2011-12","serie a","37","2","1","0","-","-","38","2","none","none"
"atalanta","2012-13","serie a","16","0","2","0","-","-","18","0","none","none"
"atalanta","total","total","53","2","3","0","-","-","56","2","none","none"
"internazionale","2012-13","serie a","12","1","1","0","-","-","0","0","13","1"
"sassuolo","2013-14","serie a","11","1","1","0","-","-","12","1","none","none"
"parma","2013-14","serie a","16","4","0","0","-","-","16","4","none","none"
"chievo","2014-15","serie a","29","0","0","0","-","-","29","0","none","none"
"sporting cp","2015-16","primeira liga","14","0","0","0","3","0","0","0","17","0"
"sporting cp","2016-17","primeira liga","23","0","0","0","0","0","3","0","26","0"
"sporting cp","total","total","37","0","0","0","3","0","3","0","43","0"
"brighton & hove albion","2017-18","premier league","20","0","2","0","1","0","-","-","23","0"
"brighton & hove albion","2018-19","premier league","0","0","0","0","0","0","-","-","0","0"
"brighton & hove albion","total","total","20","0","2","0","1","0","0","0","23","0"
"chievo","2018-19","serie a","4","0","0","0","-","-","4","0","none","none"
"chievo overall","chievo overall","chievo overall","33","0","0","0","-","-","0","0","33","0"
"career total","career total","career total","259","16","10","1","4","0","5","0","278","17"
