"most serious sentence","accused females","accused females","accused males","accused males","total guilty cases","total guilty cases"
"most serious sentence","number","percent","number","percent","number","percent"
"intimate partner violence (ipv) cases","","","","","",""
"custody","1,648","14","32,000","33","33,648","31"
"conditional sentence","443","4","4,694","5","5,137","5"
"probation","7,240","62","45,973","48","53,213","49"
"fine","576","5","5,259","5","5,835","5"
"other sentences","1,767","15","7,968","8","9,735","9"
"total guilty ipv cases","11,674","100","95,894","100","107,568","100"
"non-intimate partner violence (non-ipv) cases","","","","","",""
"custody","3,525","25","30,592","42","34,117","39"
"conditional sentence","907","6","4,626","6","5,533","6"
"probation","7,478","52","27,715","38","35,193","40"
"fine","933","7","5,097","7","6,030","7"
"other sentences","1,460","10","5,489","7","6,949","8"
"total guilty non-ipv cases","14,303","100","73,519","100","87,822","100"
"total guilty cases","25,977","..","169,413","..","195,390",".."
