"","non-immigrants","immigrants","immigrants"
"","non-immigrants","studied in canada","studied outside canada"
"","predicted probability","predicted probability","predicted probability"
"sex","","",""
"women","3.6","4.7","15.0"
"men","3.5","4.4","13.2"
"highest level of educational attainment","","",""
"bachelor's degree without further studies","4.7","6.4","16.8"
"bachelor's degree with further studies","1.4","2.7","11.7"
"university certificate or diploma above bachelor level without further studies","1.8","1.2","13.8"
"university certificate or diploma above bachelor level with further studies","1.0","0.7","10.7"
"degree in medicine, dentistry, veterinary medicine or optometry","0.2","0.5","10.1"
"master's degree without further studies","1.0","1.1","9.5"
"master's degree with further studies","0.1","ne","2.1"
"doctorate acquired","0.2","ne","2.4"
"field of study","","",""
"education","1.5","3.0","17.7"
"visual and performing arts, and communications technologies","6.0","8.7","15.1"
"humanities","8.9","8.7","24.8"
"social and behavioural sciences and law","5.6","7.8","19.7"
"business, management and public administration","3.3","4.6","15.9"
"physical and life sciences and technologies","4.2","4.4","14.5"
"mathematics, computer and information sciences","1.4","1.5","8.0"
"architecture, engineering, and related technologies","1.0","2.9","10.5"
"agriculture, natural resources and conservation","4.2","7.2","25.4"
"health and related fields","1.7","2.6","9.9"
"other","10.1","ne","18.3"
"level of familiarity with official languages","","",""
"1. highest level","3.3","2.9","7.9"
"2","3.7","3.8","6.0"
"3","3.7","3.3","10.4"
"4","3.4","4.8","12.5"
"5","4.5","5.5","14.0"
"6. lowest level","5.0","6.7","16.1"
"location of study","","",""
"canada","3.5","..",".."
"north america","..","..","7.3"
"central and south america","..","..","8.2"
"caribbean and bermuda","..","..","15.2"
"western europe","..","..","6.9"
"eastern europe","..","..","11.6"
"northern europe","..","..","5.2"
"southern europe","..","..","8.8"
"sub-saharan africa","..","..","10.2"
"northern africa","..","..","8.5"
"west central asia","..","..","10.4"
"eastern asia","..","..","10"
"southeast asia","..","..","23.6"
"southern asia","..","..","22"
"oceania","..","..","11.3"
"outside canada","4.7","..",".."
